MT        	03	2011	% 	N_emisor2           	CORREDURíA DE SEGUROS CON NÚMERO DE REGISTRO: 80362
PC        	03	2011	% 	N_emisor2           	CORREDURíA DE SEGUROS CON NÚMERO DE REGISTRO: 80362
PF        	03	2011	% 	N_emisor2           	CORREDURíA DE SEGUROS CON NÚMERO DE REGISTRO: 80362
PROFOR    	03	2011	% 	N_emisor2           	CORREDURíA DE SEGUROS CON NÚMERO DE REGISTRO: 80362
RECTIF    	03	2011	% 	N_emisor2           	CORREDURíA DE SEGUROS CON NÚMERO DE REGISTRO: 80362
COLEGIADOS	01	2007	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
MU        	01	2007	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
D         	01	2007	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
C         	01	2007	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
COLEGIADOS	01	2008	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
MU        	01	2008	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
RECTIF    	01	2008	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
D         	01	2008	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
C         	01	2008	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
MP        	01	2008	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
CURSOS    	01	2008	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
COLEGIADOS	01	2009	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
MU        	01	2009	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
RECTIF    	01	2009	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
C         	01	2009	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
MP        	01	2009	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
CURSOS    	01	2009	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
COLEGIADOS	01	2010	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
MU        	01	2010	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
RECTIF    	01	2010	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
D         	01	2010	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
C         	01	2010	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
