-1.0	50.0	15.0	N	1.6.1     	C   
50.0	100.0	14.25	N	1.6.1     	C   
100.0	200.0	13.050000000000001	N	1.6.1     	C   
200.0	400.0	12.0	N	1.6.1     	C   
400.0	600.0	11.25	N	1.6.1     	C   
600.0	800.0	10.800000000000001	N	1.6.1     	C   
800.0	1000.0	10.35	N	1.6.1     	C   
1000.0	2000.0	9.75	N	1.6.1     	C   
2000.0	3000.0	9.1500000000000004	N	1.6.1     	C   
3000.0	4000.0	8.6999999999999993	N	1.6.1     	C   
4000.0	6000.0	8.4000000000000004	N	1.6.1     	C   
6000.0	8000.0	8.0999999999999996	N	1.6.1     	C   
8000.0	10000.0	7.7999999999999998	N	1.6.1     	C   
10000.0	12000.0	7.6500000000000004	N	1.6.1     	C   
12000.0	14000.0	7.5	N	1.6.1     	C   
14000.0	16000.0	7.3499999999999996	N	1.6.1     	C   
16000.0	18000.0	7.2000000000000002	N	1.6.1     	C   
18000.0	20000.0	7.0499999999999998	N	1.6.1     	C   
20000.0	25000.0	6.9000000000000004	N	1.6.1     	C   
25000.0	30000.0	6.75	N	1.6.1     	C   
30000.0	35000.0	6.5999999999999996	N	1.6.1     	C   
35000.0	40000.0	6.4500000000000002	N	1.6.1     	C   
40000.0	50000.0	6.2999999999999998	N	1.6.1     	C   
50000.0	65000.0	6.1500000000000004	N	1.6.1     	C   
65000.0	80000.0	6.0	N	1.6.1     	C   
80000.0	100000.0	5.8499999999999996	N	1.6.1     	C   
100000.0	120000.0	5.7000000000000002	N	1.6.1     	C   
120000.0	140000.0	5.5499999999999998	N	1.6.1     	C   
140000.0	180000.0	5.4000000000000004	N	1.6.1     	C   
180000.0	200000.0	5.25	N	1.6.1     	C   
200000.0	999999999.0	5.0999999999999996	S	1.6.1     	C   
-1.0	50.0	15.0	N	1.6.2     	C   
50.0	100.0	14.25	N	1.6.2     	C   
100.0	200.0	13.050000000000001	N	1.6.2     	C   
200.0	400.0	12.0	N	1.6.2     	C   
400.0	600.0	11.25	N	1.6.2     	C   
600.0	800.0	10.800000000000001	N	1.6.2     	C   
800.0	1000.0	10.35	N	1.6.2     	C   
1000.0	2000.0	9.75	N	1.6.2     	C   
2000.0	3000.0	9.1500000000000004	N	1.6.2     	C   
3000.0	4000.0	8.6999999999999993	N	1.6.2     	C   
4000.0	6000.0	8.4000000000000004	N	1.6.2     	C   
6000.0	8000.0	8.0999999999999996	N	1.6.2     	C   
8000.0	10000.0	7.7999999999999998	N	1.6.2     	C   
10000.0	12000.0	7.6500000000000004	N	1.6.2     	C   
12000.0	14000.0	7.5	N	1.6.2     	C   
14000.0	16000.0	7.3499999999999996	N	1.6.2     	C   
16000.0	18000.0	7.2000000000000002	N	1.6.2     	C   
18000.0	20000.0	7.0499999999999998	N	1.6.2     	C   
20000.0	25000.0	6.9000000000000004	N	1.6.2     	C   
25000.0	30000.0	6.75	N	1.6.2     	C   
30000.0	35000.0	6.5999999999999996	N	1.6.2     	C   
35000.0	40000.0	6.4500000000000002	N	1.6.2     	C   
40000.0	50000.0	6.2999999999999998	N	1.6.2     	C   
50000.0	65000.0	6.1500000000000004	N	1.6.2     	C   
65000.0	80000.0	6.0	N	1.6.2     	C   
80000.0	100000.0	5.8499999999999996	N	1.6.2     	C   
100000.0	120000.0	5.7000000000000002	N	1.6.2     	C   
120000.0	140000.0	5.5499999999999998	N	1.6.2     	C   
140000.0	180000.0	5.4000000000000004	N	1.6.2     	C   
180000.0	200000.0	5.25	N	1.6.2     	C   
200000.0	999999999.0	5.0999999999999996	S	1.6.2     	C   
-1.0	24295.91	12.0	N	2.4.1     	C   
24295.91	32394.549999999999	11.25	N	2.4.1     	C   
32394.549999999999	48591.830000000002	10.5	N	2.4.1     	C   
48591.830000000002	64789.099999999999	10.050000000000001	N	2.4.1     	C   
64789.099999999999	97183.660000000003	9.5999999999999996	N	2.4.1     	C   
97183.660000000003	129578.21000000001	9.3499999999999996	N	2.4.1     	C   
129578.21000000001	161972.76000000001	9.1500000000000004	N	2.4.1     	C   
161972.76000000001	194367.31	8.9000000000000004	N	2.4.1     	C   
194367.31	226761.87	8.6999999999999993	N	2.4.1     	C   
226761.87	275353.70000000001	8.5500000000000007	N	2.4.1     	C   
275353.70000000001	323945.52000000002	8.4000000000000004	N	2.4.1     	C   
323945.52000000002	404931.90999999997	8.25	N	2.4.1     	C   
404931.90999999997	485918.28999999998	8.0999999999999996	N	2.4.1     	C   
485918.28999999998	647891.05000000005	7.8499999999999996	N	2.4.1     	C   
647891.05000000005	971836.56999999995	7.5	N	2.4.1     	C   
971836.56999999995	1295782.1000000001	7.0999999999999996	N	2.4.1     	C   
1295782.1000000001	1619727.6200000001	6.75	N	2.4.1     	C   
1619727.6200000001	2105645.9100000001	6.3499999999999996	N	2.4.1     	C   
2105645.9100000001	3239455.2400000002	6.0	N	2.4.1     	C   
3239455.2400000002	4049319.0499999998	5.5999999999999996	N	2.4.1     	C   
4049319.0499999998	4859182.8600000003	5.25	N	2.4.1     	C   
4859182.8600000003	5669046.6699999999	5.0499999999999998	N	2.4.1     	C   
5669046.6699999999	6478910.4900000002	4.8499999999999996	N	2.4.1     	C   
