ALI	ALICANTE                                          
AL 	ALCOY                                             
AV 	ALTO VINALOPO                                     
BV 	BAJO VINALOPO                                     
EC 	EL COMTAT                                         
FV 	FONS DEL VINALOPO                                 
FC 	FOYA DE CASTALLA                                  
MA 	MARINA ALTA                                       
MB 	MARINA BAJA                                       
MV 	MEDIO VINALOPO                                    
VB 	VEGA BAJA                                         
