C 	CARTA
E 	CERTIFICADO
O 	OFICIO
S 	SALUDA
F 	FACTURA
X 	FAX
L 	LISTADOS
I 	ICE
P 	PARTE
M 	E-MAIL
U 	URBANISMO - AYTOS
SE	SENTENCIA
RE	RECIBOS
CH	CHEQUE
FS	FISCAL
LO	LOCALIZACION COLEGIADO
AC	ACREDITACION
CU	CURSOS
A 	ASIGNACION NºEXPTE PARTES MUSAAT
RQ	REQUERIMIENTOS
PB	PUBLICACIONES
PU	PUBLICIDAD
AR	ARCHIVO
IN	INVITACION
PZ	POLIZA
CN	CONSEJO
CV	CONSEJO COM.VALENCIANA
IS	INSCRIPCIONES
PR	PRESTACION
BF	BUROFAX
J 	JORNADAS
IF	INFORME
EN	ENCUESTA
CT	CONVOCATORIA
MS	MASTER
R1	R1 RENUNCIA PRESENTADA
R2	R2 RENUNCIA EN TRAMITACION
R3	R3 RENUNCIA CANCELACION
M1	M1 MODIF.PRESENTADA
M2	M2 MODIF.TRAMITADA
M3	M3 MODIF.REALIZADA
G1	G1 MODIF.GASTOS
G3	G3 GASTOS PAGADOS
JG	JUSTICIA GRATUITA
DC	DOCUMENTACION
ES	ESTADILLO
LQ	LIQUIDACION
CO	CONCURSO
CI	CIRCULAR
PE	PESAME
CC	CONCURSO NAVIDAD
SC	SOCIEDADES
B 	BECAS
RH	RECLAMACION HONORARIOS
DE	DESIGNACION TECNICO
PO	PARALIZACION OBRA
ME	MEMORIA
AN	ANULACION CLAUSULAS CONTRATO
AT	ACTO COMPARECENCIA
CR	CONTRATO
CL	CURRICULUM VITAE
CF	CONFERENCIA
AU	AUDITORIA
AP	APORTACION
RM	REVISION MEDICA
RC	RECLAMACION O QUEJA
RS	REDUCCION SEGURO PRIMA
CE	CONSEJO HOJA ESTADISTICA
CB	CONTABILIDAD
AY	ESCRITOS AYUNTAMIENTOS
CM	COMUNICACION
CP	NOTIF.CAMBIO PROP.
EZ	NOTIF.CAMBIO EMPLAZAMIENTO
V 	CONVENIO
FO	CFO ANULA Y SUSTITUYE
EC	ESCRITO CONFORMIDAD DOCUMENTOS
NC	NOTIF.MODIF.CONCEPTO VDO
CS	CERT.MERITOS
NF	NOTIF.FINAL.OBRA
FE	FEAG
