0C	A CORUÑA
VI	ALAVA
AB	ALBACETE
0A	ALICANTE
AL	ALMERIA
0O	ASTURIAS
AV	AVILA
BA	BADAJOZ
0B	BARCELONA
BI	BIZKAIA
BU	BURGOS
CC	CACERES
CA	CADIZ
0S	CANTABRIA
CS	CASTELLON
CR	CIUDAD REAL
CO	CORDOBA
CU	CUENCA
FU	FUERTEVENTURA
SS	GIPUZKOA
GI	GIRONA
GC	GRAN CANARIA
GR	GRANADA
GU	GUADALAJARA
0H	HUELVA
HU	HUESCA
IF	IBIZA-FORMENTERA
0J	JAEN
LO	LA RIOJA
LA	LANZAROTE
LE	LEON
LL	LLEIDA
LU	LUGO
0M	MADRID
MA	MALAGA
PM	MALLORCA
ME	MENORCA
MU	MURCIA
NA	NAVARRA
OU	ORENSE
0P	PALENCIA
PO	PONTEVEDRA
SA	SALAMANCA
SG	SEGOVIA
SE	SEVILLA
SO	SORIA
0T	TARRAGONA
TF	TENERIFE
TB	TERRES DE L'EBRE
TE	TERUEL
TO	TOLEDO
0V	VALENCIA
VA	VALLADOLID
ZA	ZAMORA
0Z	ZARAGOZA
