SI	APERTURA
88	CIERRE
RG	ASIENTO DE REGULARIZACION (PROC.INTER)
F6	FRA. PROVEEDOR (TOTAL)
F1	FRA.PROVEEDOR (GASTOS)
F2	FRA. PROVEEDOR (IVA)
F7	FACTURA
F4	FRA. PROVEEDOR (DTO.)
F3	FRA. PROVEEDOR (IRPF)
F5	FRA. PROVEEDOR (PAGO)
F9	FRA. PROVEEDOR (IRPF AL PROVEEDOR)
FA	IVA/IGIC  NO DEDUCIBLE, NO SE INCLUIRAN
FB	LEASING, A LA CUENTA DE LEASING AL HABER
FC	LEASING, A LA CUENTA DEL PROVEEDOR AL DE
IN	INMOVILIZADO
RI	REGULARIZACION IVA
EX	EXPEDIENTES
DE	DIFERENCIAS DE REDONDEO AL EURO
01	PARKING
02	CORREO
03	COBRO FACTURAS VARIAS
04	TRANSFERENCIA PROVEEDORES
05	S/ FACTURA
06	N/ FACTURA
07	NOMINA
08	IRPF NOMINA
09	S.S. NOMINA
10	PAGO NOMINA
11	DIETAS Y KM.
12	TALON Nº
TL	TALON
TR	TRANFERENCIA
..	PATR.NETO AJUSTES CAMBIO CRITERIO
,,	PATR.NETO AJUSTES ERROR
