EG        	Encargo global
RP        	Redacción de proyecto
DO        	Dirección de obra
DEO       	Dirección de la ejecución de la obra
CSSP      	Coordinación en materia de seguridad y salud durante la elaboración de proyecto
REB       	Redacción de estudio o estudio básico de seguridad y salud
CSSO      	Coordinación en materia de seguridad y salud durante la ejecución de la obra
ARP       	Asesoramiento técnico al contratista para la redacción del plan de seguridad y salud en el trabajo
RPG       	Redacción de programa
SPCC      	Seguimiento del programa de control de calidad
DPCC      	Documentación del cumplimiento del programa de control de calidad
LE        	Elaboración del libro del edificio
DST       	Deslinde sin amojonamiento de terrenos
DSS       	Deslinde sin amojonamiento de solares
DSE       	Deslinde sin amojonamiento de edificaciones
DAT       	Deslinde con amojonamiento de terrenos
DAS       	Deslinde con amojonamiento de solares
DAE       	Deslinde con amojonamiento de edificaciones
REPE      	Replanteo de edificaciones
REPS      	Replanteo de solares
REPT      	Replanteo de terrenos
MET       	Medición de terrenos
MES       	Medición de solares
MEE       	Medición de edificaciones
SPA       	Seguimiento de la parcelación
ISC       	Informes sin certificación
DCI       	Dictámenes con informe
CSI       	Certificaciones sin informe
CCI       	Certificaciones con informe
PER       	Peritaciones
ARB       	Arbitrajes
CON       	Contratación
ADM       	Administración
SYT       	Solares y terrenos
EDI       	Edificios
EDF       	Edificación
URB       	Urbanización
SM        	Supervisión del montaje
AP        	Auditoría del proyecto
PP        	Planteamiento del proyecto
CYR       	Coordinación en materia de S. y S. y Redacción de estudio o estudio básico de S. y S.
RYD       	Redacción de proyecto y Dirección de obra
