1.1       	EG        	1770.0	1.0	
1.1       	DEO       	410.0	.23100000000000001	
1.1       	DO        	410.0	.23100000000000001	
1.1       	RP        	950.0	.53800000000000003	
1.2       	@         	815.0	1.0	
2.1       	RP        	611.0	.69999999999999996	
2.1       	EG        	815.0	1.0	
2.1       	DO        	305.0	.29999999999999999	
11        	EG        	900.0	1.0	
11        	RP        	630.0	.69999999999999996	
11        	SPA       	280.0	.29999999999999999	
13        	CCI       	410.0	1.0	
13        	CSI       	205.0	1.0	
13        	DCI       	305.0	1.0	
13        	ISC       	205.0	1.0	
14        	ARB       	800.0	1.0	
14        	PER       	410.0	1.0	
16        	DO        	245.0	.29999999999999999	
16        	EG        	815.0	1.0	
16        	RP        	570.0	.69999999999999996	
17        	EDI       	245.0	1.0	
17        	SYT       	245.0	1.0	
18        	@         	490.0	1.0	
20        	EDF       	165.0	1.0	
20        	URB       	305.0	1.0	
21        	@         	407.0	1.0	
23        	@         	390.0	1.0	
25        	@         	245.0	1.0	
33        	@         	300.0	1.0	
15        	ADM       	490.0	.01	
15        	CON       	980.0	.040000000000000001	
22        	@         	250.0	1.0	
27        	EG        	500.0	1.0	
27        	RP        	350.0	.69999999999999996	
27        	SM        	150.0	.29999999999999999	
28        	RP        	400.0	1.0	
29        	@         	400.0	1.0	
30        	@         	400.0	1.0	
31        	AP        	300.0	1.0	
31        	EG        	900.0	1.0	
31        	PP        	600.0	1.0	
4         	DO        	775.0	.69999999999999996	
4         	EG        	1020.0	1.0	
4         	RP        	610.0	.29999999999999999	
35        	DO        	700.0	.29999999999999999	
35        	EG        	700.0	1.0	
35        	RP        	700.0	.69999999999999996	
5         	DO        	652.0	.29999999999999999	
5         	EG        	2160.0	1.0	
5         	RP        	1507.0	.69999999999999996	
6a        	ARP       	167.0	.20999999999999999	
6a        	CSSO      	335.0	.59999999999999998	
6a        	CSSP      	167.0	.28000000000000003	
6a        	EG        	400.0	1.0	
6a        	REB       	167.0	.29999999999999999	
7         	DPCC      	165.0	1.0	
7         	EG        	1700.0	1.0	
7         	RPG       	815.0	1.0	
7         	SPCC      	815.0	1.0	
9         	DAE       	490.0	5.8700000000000001	
9         	DAS       	306.0	3.9100000000000001	
9         	DAT       	733.0	1.96	
9         	DSE       	490.0	5.8700000000000001	
9         	DSS       	306.0	3.9100000000000001	
9         	DST       	733.0	1.96	
9         	REPE      	490.0	5.8700000000000001	
9         	REPS      	306.0	3.9100000000000001	
9         	REPT      	733.0	1.96	
10        	MEE       	490.0	1.0	
10        	MES       	305.0	1.0	
10        	MET       	733.0	1.0	
6b        	ARP       	167.0	.20999999999999999	
6b        	CSSO      	335.0	.59999999999999998	
6b        	CSSP      	167.0	.28000000000000003	
6b        	EG        	400.0	1.0	
6b        	REB       	167.0	.29999999999999999	
8a        	LE        	300.0	1.0	
8b        	LE        	300.0	1.0	
19        	@         	165.0	1.0	
2.3       	@         	815.0	1.0	
2.2       	EG        	980.0	1.0	
2.2       	RP        	685.0	.69999999999999996	
2.2       	DO        	490.0	.29999999999999999	
3         	EG        	980.0	1.0	
3         	RP        	685.0	.69999999999999996	
3         	DO        	490.0	.29999999999999999	
6a        	CYR       	502.0	.90000000000000002	
6b        	CYR       	502.0	.90000000000000002	
1.1       	RYD       	1360.0	.76900000000000002	
