EXPEDI    	01	2008	ES	Cabecera            	FACTURA DE GASTOS COLEGIALES
COLEGIADOS	01	2008	ES	Cabecera            	FACTURA DE GASTOS COLEGIALES
GASCOL    	01	2008	ES	Cabecera            	FACTURA DE GASTOS COLEGIALES
CLIEN     	01	2008	ES	Cabecera            	FACTURA DE GASTOS COLEGIALES
RECTIF    	01	2008	ES	Cabecera            	FACTURA DE GASTOS COLEGIALES
EXPEDI    	01	2009	ES	Cabecera            	FACTURA DE GASTOS COLEGIALES
COLEGIADOS	01	2009	ES	Cabecera            	FACTURA DE GASTOS COLEGIALES
GASCOL    	01	2009	ES	Cabecera            	FACTURA DE GASTOS COLEGIALES
CLIEN     	01	2009	ES	Cabecera            	FACTURA DE GASTOS COLEGIALES
RECTIF    	01	2009	ES	Cabecera            	FACTURA DE GASTOS COLEGIALES
EXPEDI    	01	2010	ES	Cabecera            	FACTURA DE GASTOS COLEGIALES
COLEGIADOS	01	2010	ES	Cabecera            	FACTURA DE GASTOS COLEGIALES
GASCOL    	01	2010	ES	Cabecera            	FACTURA DE GASTOS COLEGIALES
CLIEN     	01	2010	ES	Cabecera            	FACTURA DE GASTOS COLEGIALES
RECTIF    	01	2010	ES	Cabecera            	FACTURA DE GASTOS COLEGIALES
EXPEDI    	01	2011	ES	Cabecera            	FACTURA DE GASTOS COLEGIALES
COLEGIADOS	01	2011	ES	Cabecera            	FACTURA DE GASTOS COLEGIALES
GASCOL    	01	2011	ES	Cabecera            	FACTURA DE GASTOS COLEGIALES
CLIEN     	01	2011	ES	Cabecera            	FACTURA DE GASTOS COLEGIALES
RECTIF    	01	2011	ES	Cabecera            	FACTURA DE GASTOS COLEGIALES
000       	02	2008	ES	Cabecera            	FACTURA
000       	02	2009	ES	Cabecera            	FACTURA
000       	02	2010	ES	Cabecera            	FACTURA
000       	02	2011	ES	Cabecera            	FACTURA
PROFOR    	01	2010	ES	Cabecera            	PROFORMA DE GASTOS COLEGIALES
PROFOR    	01	2011	ES	Cabecera            	PROFORMA DE GASTOS COLEGIALES
PREMAA    	01	2008	% 	Cabecera            	RECIBO
MUSAAT    	01	2009	% 	Cabecera            	RECIBO
PREMAA    	01	2009	% 	Cabecera            	RECIBO
MUSAAT    	01	2010	% 	Cabecera            	RECIBO
PREMAA    	01	2010	% 	Cabecera            	RECIBO
MUSAAT    	01	2011	% 	Cabecera            	RECIBO
PREMAA    	01	2011	% 	Cabecera            	RECIBO
MUSAAT    	01	2008	% 	Cabecera            	RECIBO
%         	% 	%   	% 	Cabecera            	FACTURA
EXPEDI    	01	2008	% 	N_fact              	FACTURA Nº
COLEGIADOS	01	2008	% 	N_fact              	FACTURA Nº
GASCOL    	01	2008	% 	N_fact              	FACTURA Nº
CLIEN     	01	2008	% 	N_fact              	FACTURA Nº
000       	02	2008	% 	N_fact              	FACTURA Nº
RECTIF    	01	2008	% 	N_fact              	FACTURA Nº
