01	INGRESO
02	LIQUIDACION
04	NOMINAS
05	SEGUROS SOCIALES
07	INTERESES
08	DEVOLUCION CHEQUE
09	PROV.FONDOS
10	HONORARIOS
11	DEVOLUCION 1% CIP
12	INFORMES
14	TRANSFERENCIA
15	RECIBO DOMICILIADO
16	TRASPASO
17	REEMBOLSO
18	SEGUROS
19	INGRESO EXPEDTE.
20	IVA HONORARIOS
21	IVA INFORMES
22	REMESA
23	GIRO PREMAAT
25	IMPOSICIONES
31	APORTACION
32	PAGO APORT.
33	PAGO INFORMES
40	RETENCION VOLUNTARIA
41	IVA
44	RETENCION IRPF
45	REGULARIZACION I.R.P.F.
46	REDONDEO EXPEDIENTE
47	DIF. ING. EXPDTE.
50	INFORME URBANISTICO
51	GARANTIA URBANISTICA
52	INFORME ADMINISTRATIVO
53	LIBRO DE ORDENES
54	TRAMITE DE URGENCIA
55	INFORME DOCUMENTACION
56	CONVENIO UNIVERSIDAD
57	IDONEIDAD TECNICA
58	LIBRO DE INCIDENCIAS
60	CARGO CC
61	PAGO CC
71	FRA. PROVEEDOR (TOTAL)
72	FRA.PROVEEDOR (GASTOS)
73	FRA. PROVEEDOR (IVA)
76	SEGURO ACCIDENTES
88	Asiento de Cierre
89	Asiento de Apertura
87	Asiento de Regularizaci½n
VI	FACTURA DE VIAJES, CENAS, CONGRESOS ...
LI	FACTURA DE LIBROS
CU	FACTURA DE CURSOS
AP	FACTURA DE APARATOS
CI	FACTURA DE CUOTA DE INCORPORACION
AB	FACTURA DE ABOGADOS
PR	FACTURA DE PROCURADORES
DC	FACTURA DE DEVOLUCIONES A COLEGIADOS
OT	OTRAS FACTURAS
ET	FACTURA ETIQUETAS
BT	FACTURA BOLSA TRABAJO
CE	FACTURA DE CERTIFICADOS
FR	FACTURA RECIBIDA
MI	FACTURA DE MINUTA
RB	RECIBO
RE	REGU.PRIMA VARIABLE  MUSAAT
HA	TRIMESTRE HACIENDA 110
TL	TALON
RI	REGULARIZACION DE IVA
00	GENERAL
LO	LOTERIA
RM	REGU.PRIMA FIJA MUSAAT
PM	REGU.PREMAAT
FE	OTRAS FACTURAS EMITIDAS
F1	FRA.PROVEEDOR (GASTOS)
F2	FRA.PROVEEDOR (IVA)
F3	FRA.PROVEEDOR (IRPF)
F4	FRA.PROVEEDOR (DTO.)
F5	FRA.PROVEEDOR (PAGO)
F6	FRA.PROVEEDOR (TOTAL)
F7	FACTURA
F9	FRA.PROVEEDOR (IRPF AL PROVEEDOR)
FA	IVA/IGIC  NO DEDUCIBLE, NO SE INCLUIRAN
FB	LEASING, A LA CUENTA DE LEASING AL HABER
FC	LEASING, A LA CUENTA DEL PROVEEDOR AL DE
ED	AL DEBE
EH	AL HABER
