COLEGIADOS                                                                                          	[seguros_src_f_alta]                                                                                	seguros_src_f_alta                                                                                  
COLEGIADOS                                                                                          	[tel_5]                                                                                             	tel_5                                                                                               
COLEGIADOS                                                                                          	[tel_4]                                                                                             	tel_4                                                                                               
COLEGIADOS                                                                                          	[tel_3]                                                                                             	tel_3                                                                                               
COLEGIADOS                                                                                          	[tel_2]                                                                                             	tel_2                                                                                               
COLEGIADOS                                                                                          	[tel_1]                                                                                             	tel_1                                                                                               
COLEGIADOS                                                                                          	[titul_observaciones]                                                                               	titul_observaciones                                                                                 
COLEGIADOS                                                                                          	[titul_tipo]                                                                                        	titul_tipo                                                                                          
COLEGIADOS                                                                                          	[titul_pais]                                                                                        	titul_pais                                                                                          
COLEGIADOS                                                                                          	[titul_circunst_hab]                                                                                	titul_circunst_hab                                                                                  
COLEGIADOS                                                                                          	[titul_convalid_fecha]                                                                              	titul_convalid_fecha                                                                                
COLEGIADOS                                                                                          	[titul_permiso_tipo]                                                                                	titul_permiso_tipo                                                                                  
COLEGIADOS                                                                                          	[titul_permiso_ambito]                                                                              	titul_permiso_ambito                                                                                
COLEGIADOS                                                                                          	[ultima_factura]                                                                                    	ultima_factura                                                                                      
COLEGIADOS                                                                                          	[seguros_src_n_poliza]                                                                              	seguros_src_n_poliza                                                                                
COLEGIADOS                                                                                          	[titul_convalid_docum]                                                                              	titul_convalid_docum                                                                                
COLEGIADOS                                                                                          	[titul_convalid_denom]                                                                              	titul_convalid_denom                                                                                
COLEGIADOS                                                                                          	[titul_permiso_regim]                                                                               	titul_permiso_regim                                                                                 
COLEGIADOS                                                                                          	[titul_permiso_caduc]                                                                               	titul_permiso_caduc                                                                                 
COLEGIADOS                                                                                          	[sit_altas_bajas]                                                                                   	sit_altas_bajas                                                                                     
COLEGIADOS                                                                                          	[url]                                                                                               	url                                                                                                 
COLEGIADOS                                                                                          	[src_cober_f_baja]                                                                                  	src_cober_f_baja                                                                                    
COLEGIADOS                                                                                          	[src_cober_f_alta]                                                                                  	src_cober_f_alta                                                                                    
COLEGIADOS                                                                                          	[src_cober]                                                                                         	src_cober                                                                                           
COLEGIADOS                                                                                          	[src_f_baja]                                                                                        	src_f_baja                                                                                          
COLEGIADOS                                                                                          	[src_f_alta]                                                                                        	src_f_alta                                                                                          
COLEGIADOS                                                                                          	[src_alta]                                                                                          	src_alta                                                                                            
COLEGIADOS                                                                                          	[src_franqui]                                                                                       	src_franqui                                                                                         
COLEGIADOS                                                                                          	[src_bonimp]                                                                                        	src_bonimp                                                                                          
COLEGIADOS                                                                                          	[src_boni]                                                                                          	src_boni                                                                                            
COLEGIADOS                                                                                          	[src_forma_pago]                                                                                    	src_forma_pago                                                                                      
COLEGIADOS                                                                                          	[src_coef_cm]                                                                                       	src_coef_cm                                                                                         
COLEGIADOS                                                                                          	[src_importe]                                                                                       	src_importe                                                                                         
COLEGIADOS                                                                                          	[src_estado]                                                                                        	src_estado                                                                                          
COLEGIADOS                                                                                          	[src_t_poliza]                                                                                      	src_t_poliza                                                                                        
COLEGIADOS                                                                                          	[src_n_poliza]                                                                                      	src_n_poliza                                                                                        
COLEGIADOS                                                                                          	[tasad_cober_f_baja]                                                                                	tasad_cober_f_baja                                                                                  
COLEGIADOS                                                                                          	[tasad_cober_f_alta]                                                                                	tasad_cober_f_alta                                                                                  
COLEGIADOS                                                                                          	[tasad_cober]                                                                                       	tasad_cober                                                                                         
COLEGIADOS                                                                                          	[tasad_f_baja]                                                                                      	tasad_f_baja                                                                                        
COLEGIADOS                                                                                          	[tasad_f_alta]                                                                                      	tasad_f_alta                                                                                        
COLEGIADOS                                                                                          	[tasad_alta]                                                                                        	tasad_alta                                                                                          
COLEGIADOS                                                                                          	[tasad_importe]                                                                                     	tasad_importe                                                                                       
