COLEGIADOS	01	2006	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
MUSAAT    	01	2006	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
PREMA     	01	2006	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
CUOTAS    	01	2006	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
VARIOS    	01	2006	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
RECTIF    	01	2006	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
COLEGIADOS	01	2007	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
MUSAAT    	01	2007	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
CUOTAS    	01	2007	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
VARIOS    	01	2007	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
RECTIF    	01	2007	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
COLEGIADOS	01	2008	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
MUSAAT    	01	2008	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
PREMA     	01	2008	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
CUOTAS    	01	2008	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
VARIOS    	01	2008	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
RECTIF    	01	2008	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
COLEGIADOS	01	2009	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
MUSAAT    	01	2009	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
PREMA     	01	2009	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
CUOTAS    	01	2009	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
VARIOS    	01	2009	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
RECTIF    	01	2009	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
COLEGIADOS	01	2010	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
MUSAAT    	01	2010	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
CUOTAS    	01	2010	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
