1.6.1     	@         	60.100000000000001		16.23
1.6.2     	@         	72.120000000000005		19.48
2.4.1     	@         	96.159999999999997		25.84
4.1.1     	@         	30.050000000000001		8.1099999999999994
4.1.2     	@         	45.079999999999998		12.02
4.1.4     	@         	60.100000000000001		16.23
A.1.1     	PD        	150.25	1.0	40.57
A.1.1     	P         	90.150000000000006	.29999999999999999	24.039999999999999
A.1.1     	D         	114.19	.69999999999999996	30.649999999999999
A.1.2     	D         	96.159999999999997	.29999999999999999	25.84
A.1.3     	PD        	120.2	1.0	32.450000000000003
A.1.3     	P         	90.150000000000006	.69999999999999996	24.039999999999999
A.1.3     	D         	60.100000000000001	.29999999999999999	16.23
A.1.4     	PD        	120.2	1.0	32.450000000000003
A.1.6.3   	PD        	144.24000000000001	1.0	38.770000000000003
A.1.6.3   	P         	100.97	.69999999999999996	27.050000000000001
A.1.6.3   	D         	72.120000000000005	.29999999999999999	19.23
2.4.2     	@         	120.2		32.450000000000003
5.1       	@         	120.2		32.450000000000003
A.1.2     	P         	222.37	.69999999999999996	60.100000000000001
A.1.4     	P         	90.150000000000006	.69999999999999996	24.039999999999999
A.1.2     	PD        	318.54000000000002	1.0	85.939999999999998
A.1.4     	D         	45.079999999999998	.29999999999999999	16.23
5.15      	441       	150.25	.29999999999999999	16.23
5.15      	442       	300.50999999999999	.69999999999999996	15.029999999999999
5.15      	443       	360.61000000000001	1.0	48.079999999999998
5.15      	444       	360.61000000000001	1.0	31.25
5.15      	445       	150.25	.20999999999999999	16.829999999999998
5.15      	448       	150.25	.10000000000000001	7.21
5.15      	440       	150.25	.29999999999999999	33.060000000000002
5.15      	446       	150.25	.20999999999999999	33.060000000000002
5.15      	447       	150.25	.40000000000000002	19.239999999999998
A.2.5.1   	R         	93.159999999999997	1.0	24.82
A.2.5.1   	RS        	132.22	1.0	35.460000000000001
A.2.5.1   	S         	39.07	1.0	10.640000000000001
1.6.3     	@         	60.100000000000001		16.23
2.4.3     	@         	96.159999999999997		25.84
3.1       	TE        	108.18000000000001		29.149999999999999
3.1       	SO        	45.079999999999998		12.02
3.1       	ED        	72.120000000000005		19.530000000000001
3.2       	TE        	72.120000000000005		19.530000000000001
3.2       	SO        	30.050000000000001		8.1099999999999994
3.2       	ED        	48.079999999999998		12.92
3.3       	TE        	108.18000000000001		29.149999999999999
3.3       	SO        	45.079999999999998		12.02
3.3       	ED        	72.120000000000005		19.530000000000001
3.4       	TE        	36.060000000000002		8.1099999999999994
3.4       	SO        	36.060000000000002		8.1099999999999994
3.4       	ED        	18.030000000000001		11.720000000000001
1.6.4     	@         	72.120000000000005		19.48
2.4.4     	@         	120.2		32.450000000000003
