FASES_FINALES_OBRA	FASES_TAB	N		csd_mostrar_acciones	aaaaa     			
AVISO_HABILITADO	FASES_COLEGIADOS_NCO	S			0000000001	92		
VISIBLE_OBJETO	ABRIR_FASE	S	b_salida	0	0000000002			
VISIBLE_OBJETO	ABRIR_FASE	S	tipo_fase	0	0000000003			
VISIBLE_OBJETO	ABRIR_FASE	S	tipo_fase_t	0	0000000004			
VISIBLE_OBJETO	ABRIR_FASE	S	b_exped	0	0000000005			
VISIBLE_OBJETO	ABRIR_FASE	S	b_salida	0	0000000006			
VISIBLE_OBJETO	ABRIR_FASE	S	archivo_fase	1	0000000007			
VISIBLE_OBJETO	ABRIR_FASE	S	archivo_fase_t	1	0000000008			
VISIBLE_OBJETO	ABRIR_FASE	S	b_1	0	0000000009			
VISIBLE_OBJETO	ABRIR_FASE	S	sello	1	0000000011			
VISIBLE_OBJETO	ABRIR_FASE	S	b_sello	0	0000000012			
INSERTA_BOTON	ABRIR_FASE	S	Devoluciones	csd_devolver	0000000013	50		
NUMERO_EXP	NUMERO_EXP	S	Eaa-nnnn	 	0000000017		 	
NUMERO_REG	NUMERO_REG	S	Raa-nnnn	 	0000000018		 	
SOCIEDADES	FASES_COLEGIADOS_NCO	N			0000000020	90		
VISIBLE_TAB	FASES_CLIENTES	S	1		0000000021	0		
VISIBLE_TAB	FASES_COLEGIADOS	S	1		0000000023	0		
VISIBLE_TAB	FASES_NOTIFICACIONES	S	1		0000000024	0		
VISIBLE_TAB	FASES_DESCUENTOS	S	1		0000000025	0		
VISIBLE_TAB	FASES_PARAMETROS	S	0		0000000026	0		
VISIBLE_TAB	FASES_ESTADISTICA	S	1		0000000027	0		
VISIBLE_TAB	FASES_REPAROS	S	1		0000000028	0		
VISIBLE_TAB	FASES_SRC	S	1		0000000029	0		
VISIBLE_TAB	FASES_MINUTAS	S	1		0000000030	0		
VISIBLE_TAB	FASES_ARQUITECTOS	S	1		0000000031	0		
VISIBLE_TAB	FASES_FINALES	S	1		0000000032	0		
VISIBLE_TAB	FASES_REGISTROS	S	1		0000000033	0		
VISIBLE_TAB	FASES_OTRAS_FASES	S	1		0000000034	0		
VISIBLE_TAB	FASES_OTROS_DOC	S	1		0000000035	0		
VISIBLE_TAB	FASES_VISARED	S	0		0000000036	0		
VISIBLE_TAB	FASES_GARANTIA	S	1		0000000037	0		
NOMBRE_TAB	FASES_CLIENTES	S	Clientes		0000000038	10		
NOMBRE_TAB	FASES_COLEGIADOS	S	Colegiados		0000000039	1		
NOMBRE_TAB	FASES_DESCUENTOS	S	Descuentos		0000000040	10		
NOMBRE_TAB	FASES_ESTADISTICA	S	Estadisticas		0000000041	10		
NOMBRE_TAB	FASES_FINALES	S	Finales Obra		0000000042	10		
NOMBRE_TAB	FASES_GARANTIA	S	Prendas		0000000043	10		
NOMBRE_TAB	FASES_MINUTAS	S	Minutas y gastos		0000000044	10		
NOMBRE_TAB	FASES_NOTIFICACIONES	S	Recla/Estados		0000000045	10		
NOMBRE_TAB	FASES_OTRAS_FASES	S	Otras Interv.		0000000046	10		
NOMBRE_TAB	FASES_OTROS_DOC	S	Otros Docs.		0000000047	10		
NOMBRE_TAB	FASES_PARAMETROS	S	Parámetros		0000000048	10		
NOMBRE_TAB	FASES_REGISTROS	S	Registro E/S		0000000049	10		
NOMBRE_TAB	FASES_REPAROS	S	Reparos		0000000050	10		
NOMBRE_TAB	FASES_SRC	S	MUSAAT		0000000051	10		
NOMBRE_TAB	GRABAR_FASE	N			0000000053			
VISIBLE_TAB	FASES_LIQUIDACIONES	S	0		0000000055	0		
NOMBRE_TAB	FASES_LIQUIDACIONES	S	Liquidaciones		0000000056	10		
INSERTA_BOTON	ABRIR_FASE	N	Ult. Nº Min.	csd_ultimo_numero_minuta	0000000057	91		
INSERTA_BOTON	ABRIR_FASE	N	Regularización	csd_regularizacion	0000000058	85		
INSERTA_BOTON	ABRIR_FASE	S	Sellador	csd_visared	0000000059	93		
CAMBIO_ESTADO	GRABAR_FASE	S	01	00	0000000069			
CAMBIO_ESTADO	VISAR	S	03		0000000070	00		
CAMBIO_ESTADO	INSERTAR_REPAROS	S	02		0000000071			
INSERTA_BOTON	ABRIR_FASE	S	Imprimir	csd_imprimir	0000000073	20		
CAMBIO_ESTADO	DESVISAR	S	01		0000000074			
CAMBIO_ESTADO	ABONAR_PARCIAL	S	04		0000000075			
