EXP       	CONCEPTOS DE EXPEDIENTES	E	X		S	S	0.0	N	S	0.0	0	COAATLR   	00	N		S	EXP	N		N	S	N	01		N
100       	MUSAAT PRIMA VARIABLE	01	404009002	41100001	S	S	0.0	N	N	0.0	0	COAATLR   	00	S		S	RPF	N		N	N	N	01		N
102       	MUSAAT PRIMA FIJA	01	404009001	41100001	S	S	0.0	N	N	0.0	0	COAATLR   	00	N		S	PFT	S		N	N	N	01		N
103       	MUSAAT PRIMA FIJA (PLAZO 1)	01	404009001	41100001	S	S	0.0	N	N	0.0	0	COAATLR   	00	N		S	PF1	S		N	N	N	01		N
104       	MUSAAT PRIMA FIJA (PLAZO 2)	01	404009001	41100001	S	S	0.0	N	N	0.0	0	COAATLR   	00	N		S	PF2	S		N	N	N	01		N
150       	PREMAAT - CUOTAS ATRASADAS	02	410200100	45400002	N	S	0.0	N	N	0.0	0	COAATLR   	00	N		S	RPR	N		N	N	N	01		N
151       	PREMAAT PAGO PRESTACIONES	02	410500000	45400001	N	S	0.0	N	N	0.0	0	COAATLR   	00	N		S	PRE	N		N	N	N	01		N
150Vb     	PREMAAT - RECOMPRA VIUDEDAD (BASICO)	02	410200100	45400002	N	S	0.0	N	N	0.0	0	COAATLR   	00	N		S	Vb	N		N	N	N	01		N
150Sv     	PREMAAT - SEGURO DE VIDA	02	410200100	45400002	N	S	0.0	N	N	0.0	0	COAATLR   	00	N		S	Sv	N		N	N	N	01		N
150Vc     	PREMAAT - RECOMPRA VIUDEDAD (COMPLE)	02	410200100	 	N	S	0.0	N	N	0.0	0	COAATLR   	00	N		S	Vc	N		N	N	N	01		N
1502k     	PREMAAT CUOTA MES G.2000 	02	410200100	 	N	S	0.0	N	N	0.0	0	COAATLR   	00	N		S	2k	N		N	N	N	01		N
150Ba     	PREMAAT CUOTA MES G.BASICO 	02	410200100	 	N	S	0.0	N	N	0.0	0	COAATLR   	00	N		S	Ba	N		N	N	N	01		N
CENAO     	CENA SAN JUAN DE ORTEGA	F	551000027	759950	N	S	47.0	S	N	0.0	0	COAATLR   	00	N		S	6570	N		N	S	N	01		N
GESAD     	M.U.S.A.AT. GESTION ADMINISTRATIVA COLEGIOS	F	759900041	759941	N	S	0.0	S	N	0.0	0	COAATLR   	00	N		N	759941	N		N	S	N	01		N
GESAM     	GESTION ADMINISTRATIVA (PREMAAT-MUSAAT)	F	759900041	759941	N	S	0.0	S	N	0.0	0	COAATLR   	00	N		0	759941	N		N	S	N	01		N
GESJU     	RAPELL. GESTION COLEGIADOS INACTIVOS	F	651000000	625001	N	S	0.0	N	N	0.0	0	COAATLR   	00	N		S	625001	N		N	S	N	01		N
GTU03     	INSCRIPCION CURSO DE PERITACIONES JUDICIALES	F	700100010	700110	N	S	0.0	N	N	0.0	0	COAATLR   	00	N		S	700110	N		N	S	N	01		N
ICI00     	INSCRIPCION CURSO AUTOCAD BASICO	F	700100010	700149	N	S	420.70999999999998	N	N	0.0	0	COAATLR   	00	N		S	700149	N		N	S	N	01		N
