*   	01	% 	.059999999999999998
*   	02	% 	.059999999999999998
*   	03	% 	.16
*   	04	% 	.17999999999999999
*   	05	% 	.17999999999999999
*   	11	% 	1.98
*   	12	1%	1.3799999999999999
*   	12	2%	1.3799999999999999
*   	12	3%	1.3799999999999999
*   	12	4%	1.3799999999999999
*   	12	5%	1.3799999999999999
*   	12	6%	1.3799999999999999
*   	12	7%	1.3799999999999999
*   	12	8%	1.3799999999999999
*   	12	9%	.59999999999999998
*   	13	1%	.59999999999999998
*   	13	2%	.59999999999999998
*   	13	3%	.59999999999999998
*   	13	4%	.59999999999999998
*   	13	5%	.59999999999999998
*   	13	6%	.59999999999999998
*   	13	7%	.59999999999999998
*   	13	8%	.59999999999999998
*   	13	9%	1.3799999999999999
*   	14	1%	.59999999999999998
*   	14	2%	.59999999999999998
*   	14	3%	.59999999999999998
*   	14	4%	.59999999999999998
*   	14	5%	.59999999999999998
*   	14	6%	.59999999999999998
*   	14	7%	.59999999999999998
*   	14	8%	.59999999999999998
*   	14	9%	1.3799999999999999
*   	15	1%	1.3799999999999999
*   	15	2%	1.3799999999999999
*   	15	3%	1.3799999999999999
*   	15	4%	1.3799999999999999
*   	15	5%	1.3799999999999999
*   	15	6%	1.3799999999999999
*   	15	7%	1.3799999999999999
*   	15	8%	1.3799999999999999
*   	15	9%	.59999999999999998
*   	16	1%	.59999999999999998
*   	16	2%	.59999999999999998
*   	16	3%	.59999999999999998
*   	16	4%	.59999999999999998
*   	16	5%	.59999999999999998
*   	16	6%	.59999999999999998
*   	16	7%	.59999999999999998
*   	16	8%	.59999999999999998
*   	16	9%	1.3799999999999999
*   	17	1%	.59999999999999998
*   	17	2%	.59999999999999998
*   	17	3%	.59999999999999998
*   	17	4%	.59999999999999998
*   	17	5%	.59999999999999998
*   	17	6%	.59999999999999998
*   	17	7%	.59999999999999998
*   	17	8%	.59999999999999998
*   	17	9%	1.3799999999999999
*   	31	% 	.040000000000000001
*   	4%	% 	0.0
*   	5%	% 	0.0
*   	6%	% 	0.0
*   	7%	% 	0.0
*   	8%	% 	0.0
*   	9%	% 	0.0
2003	01	% 	.059999999999999998
2003	02	% 	.059999999999999998
2003	03	% 	.16
2003	04	% 	.17999999999999999
2003	05	% 	.17999999999999999
2003	11	% 	1.98
2003	12	1%	1.3799999999999999
2003	12	2%	1.3799999999999999
2003	12	3%	1.3799999999999999
2003	12	4%	1.3799999999999999
2003	12	5%	1.3799999999999999
2003	12	6%	1.3799999999999999
2003	12	7%	1.3799999999999999
2003	12	8%	1.3799999999999999
2003	12	9%	.59999999999999998
2003	13	1%	.59999999999999998
2003	13	2%	.59999999999999998
2003	13	3%	.59999999999999998
2003	13	4%	.59999999999999998
2003	13	5%	.59999999999999998
2003	13	6%	.59999999999999998
2003	13	7%	.59999999999999998
2003	13	8%	.59999999999999998
2003	13	9%	1.3799999999999999
2003	14	1%	.59999999999999998
2003	14	2%	.59999999999999998
2003	14	3%	.59999999999999998
2003	14	4%	.59999999999999998
2003	14	5%	.59999999999999998
2003	14	6%	.59999999999999998
2003	14	7%	.59999999999999998
2003	14	8%	.59999999999999998
2003	14	9%	1.3799999999999999
2003	15	1%	1.3799999999999999
2003	15	2%	1.3799999999999999
2003	15	3%	1.3799999999999999
2003	15	4%	1.3799999999999999
2003	15	5%	1.3799999999999999
2003	15	6%	1.3799999999999999
2003	15	7%	1.3799999999999999
2003	15	8%	1.3799999999999999
2003	15	9%	.59999999999999998
2003	16	1%	.59999999999999998
2003	16	2%	.59999999999999998
2003	16	3%	.59999999999999998
2003	16	4%	.59999999999999998
2003	16	5%	.59999999999999998
2003	16	6%	.59999999999999998
2003	16	7%	.59999999999999998
2003	16	8%	.59999999999999998
2003	16	9%	1.3799999999999999
2003	17	1%	.59999999999999998
2003	17	2%	.59999999999999998
2003	17	3%	.59999999999999998
2003	17	4%	.59999999999999998
2003	17	5%	.59999999999999998
2003	17	6%	.59999999999999998
2003	17	7%	.59999999999999998
2003	17	8%	.59999999999999998
2003	17	9%	1.3799999999999999
2003	4%	% 	0.0
2003	5%	% 	0.0
2003	6%	% 	0.0
2003	7%	% 	0.0
2003	8%	% 	0.0
2003	9%	% 	0.0
2003	32	% 	.040000000000000001
*   	32	% 	.040000000000000001
