BT	BOLSA TRABAJO
PE	TRIBUNAL SUPERIOR DE JUSTICIA DE CASTILLA Y LEON
PJ	PERITOS TERCERO
AU	AUDIENCIA PROVINCIAL
JC	JUZGADOS DE LO CONTENCIOSO ADMINISTRATIVO
JI	JUZGADOS DE 1ª INSTANCIA DE LEON
IN	JUZGADOS DE INSTRUCCION DE LEON
JP	JUZGADOS DE LO PENAL DE LEON
JS	JUZGADOS DE LO SOCIAL DE LEON
IP	JUZGADOS DE 1ª INSTANCIA E INST. DE PONFERRADA
PP	JUZGADOS DE LO PENAL DE PONFERRADA
JA	JUZGADOS DE 1ª INS. E INSTRUCCION ASTORGA
JB	JUZGADOS DE 1ª INS. E INSTRUCCION LA BAÑEZA
JV	JUZGADOS DE 1ª INS.  VILLABLINO
IC	JUZGADOS DE 1ª INS. CISTIERNA
IS	JUZGADOS DE 1ª INS. SAHAGUN
CO	DIRECTOR EJECUCION Y COORD. SEG. JUNTA C Y L
AC	JUNTA ARBITRAL DE CONSUMO AYTº LEON Y PONFE
SP	JUZGADOS DE LO SOCIAL DE PONFERRADA
AY	TECNICOS ITC AYTO LEON
PU	TECNICOS ITC PUBLICO
