MU        	01	2006	ES	Cabecera_sup        	FACTURA
RECTIF    	01	2006	ES	Cabecera_sup        	FACTURA
COLEGIADOS	01	2007	ES	Cabecera_sup        	FACTURA
MU        	01	2007	ES	Cabecera_sup        	FACTURA
RECTIF    	01	2007	ES	Cabecera_sup        	FACTURA
COLEGIADOS	01	2008	ES	Cabecera_sup        	FACTURA
RECTIF    	01	2008	ES	Cabecera_sup        	FACTURA
MU        	01	2009	ES	Cabecera_sup        	FACTURA
RECTIF    	01	2009	ES	Cabecera_sup        	FACTURA
FMU       	01	2009	ES	Cabecera_sup        	FACTURA
COLEGIADOS	01	2010	ES	Cabecera_sup        	FACTURA
MU        	01	2010	ES	Cabecera_sup        	FACTURA
RECTIF    	01	2010	ES	Cabecera_sup        	FACTURA
FMU       	01	2010	ES	Cabecera_sup        	FACTURA
COLEGIADOS	01	2006	ES	Cabecera_sup        	FACTURA
MU        	01	2008	ES	Cabecera_sup        	FACTURA
COLEGIADOS	01	2011	ES	Cabecera_sup        	FACTURA
MU        	01	2011	ES	Cabecera_sup        	FACTURA
RECTIF    	01	2011	ES	Cabecera_sup        	FACTURA
FMU       	01	2011	ES	Cabecera_sup        	FACTURA
COLEGIADOS	01	2009	ES	Cabecera_sup        	FACTURA
F         	01	2006	ES	Cabecera_sup        	FACTURA
F         	01	2007	ES	Cabecera_sup        	FACTURA
F         	01	2008	ES	Cabecera_sup        	FACTURA
F         	01	2009	ES	Cabecera_sup        	FACTURA
F         	01	2010	ES	Cabecera_sup        	FACTURA
F         	01	2011	ES	Cabecera_sup        	FACTURA
PROFOR    	01	2010	ES	Cabecera_sup        	PROFORMA
PROFOR    	01	2011	ES	Cabecera_sup        	PROFORMA
PROFOR    	02	2011	ES	Cabecera_sup        	PROFORMA
PREMAA    	01	2006	% 	Cabecera_sup        	RECIBO
MUSAAT    	01	2006	% 	Cabecera_sup        	RECIBO
PREMAA    	01	2007	% 	Cabecera_sup        	RECIBO
MUSAAT    	01	2007	% 	Cabecera_sup        	RECIBO
R         	01	2007	% 	Cabecera_sup        	RECIBO
PREMAA    	01	2008	% 	Cabecera_sup        	RECIBO
MUSAAT    	01	2008	% 	Cabecera_sup        	RECIBO
R         	01	2008	% 	Cabecera_sup        	RECIBO
PREMAA    	01	2009	% 	Cabecera_sup        	RECIBO
MUSAAT    	01	2009	% 	Cabecera_sup        	RECIBO
R         	01	2009	% 	Cabecera_sup        	RECIBO
PREMAA    	01	2010	% 	Cabecera_sup        	RECIBO
MUSAAT    	01	2010	% 	Cabecera_sup        	RECIBO
R         	01	2010	% 	Cabecera_sup        	RECIBO
PREMAA    	01	2011	% 	Cabecera_sup        	RECIBO
MUSAAT    	01	2011	% 	Cabecera_sup        	RECIBO
R         	01	2011	% 	Cabecera_sup        	RECIBO
PC        	02	2011	% 	Cabecera_sup        	RECIBO
PF        	02	2011	% 	Cabecera_sup        	RECIBO
MT        	02	2011	% 	Cabecera_sup        	RECIBO
RECTIF    	02	2011	% 	Cabecera_sup        	RECIBO
%         	% 	%   	% 	Cabecera_sup        	FACTURA
