-1.0	50.0	3.0	N	1.6.1     	H   
50.0	100.0	2.8500000000000001	N	1.6.1     	H   
100.0	200.0	2.6099999999999999	N	1.6.1     	H   
200.0	400.0	2.3999999999999999	N	1.6.1     	H   
400.0	600.0	2.25	N	1.6.1     	H   
600.0	800.0	2.1600000000000001	N	1.6.1     	H   
800.0	1000.0	2.0699999999999998	N	1.6.1     	H   
1000.0	2000.0	1.95	N	1.6.1     	H   
2000.0	3000.0	1.8300000000000001	N	1.6.1     	H   
3000.0	4000.0	1.74	N	1.6.1     	H   
4000.0	6000.0	1.6799999999999999	N	1.6.1     	H   
6000.0	8000.0	1.6200000000000001	N	1.6.1     	H   
8000.0	10000.0	1.5600000000000001	N	1.6.1     	H   
10000.0	12000.0	1.53	N	1.6.1     	H   
12000.0	14000.0	1.5	N	1.6.1     	H   
14000.0	16000.0	1.47	N	1.6.1     	H   
16000.0	18000.0	1.4399999999999999	N	1.6.1     	H   
18000.0	20000.0	1.4099999999999999	N	1.6.1     	H   
20000.0	25000.0	1.3799999999999999	N	1.6.1     	H   
25000.0	30000.0	1.3500000000000001	N	1.6.1     	H   
30000.0	35000.0	1.3200000000000001	N	1.6.1     	H   
35000.0	40000.0	1.29	N	1.6.1     	H   
40000.0	50000.0	1.26	N	1.6.1     	H   
50000.0	65000.0	1.23	N	1.6.1     	H   
65000.0	80000.0	1.2	N	1.6.1     	H   
80000.0	100000.0	1.1699999999999999	N	1.6.1     	H   
100000.0	120000.0	1.1399999999999999	N	1.6.1     	H   
120000.0	140000.0	1.1100000000000001	N	1.6.1     	H   
140000.0	180000.0	1.0800000000000001	N	1.6.1     	H   
180000.0	200000.0	1.05	N	1.6.1     	H   
200000.0	999999999.0	1.02	S	1.6.1     	H   
-1.0	50.0	3.0	N	1.6.2     	H   
50.0	100.0	2.8500000000000001	N	1.6.2     	H   
100.0	200.0	2.6099999999999999	N	1.6.2     	H   
200.0	400.0	2.3999999999999999	N	1.6.2     	H   
400.0	600.0	2.25	N	1.6.2     	H   
600.0	800.0	2.1499999999999999	N	1.6.2     	H   
800.0	1000.0	2.0699999999999998	N	1.6.2     	H   
1000.0	2000.0	1.95	N	1.6.2     	H   
2000.0	3000.0	1.8300000000000001	N	1.6.2     	H   
3000.0	4000.0	1.74	N	1.6.2     	H   
4000.0	6000.0	1.6799999999999999	N	1.6.2     	H   
6000.0	8000.0	1.6200000000000001	N	1.6.2     	H   
8000.0	10000.0	1.5600000000000001	N	1.6.2     	H   
