SI	APERTURA
88	CIERRE
RG	ASIENTO DE REGULARIZACION (PROC.INTER)
F6	FRA. PROVEEDOR (TOTAL)
F1	FRA.PROVEEDOR (GASTOS)
F2	FRA. PROVEEDOR (IVA)
F7	FACTURA
F4	FRA. PROVEEDOR (DTO.)
F3	FRA. PROVEEDOR (IRPF)
F5	FRA. PROVEEDOR (PAGO)
F9	FRA. PROVEEDOR (IRPF AL PROVEEDOR)
FA	IVA/IGIC  NO DEDUCIBLE, NO SE INCLUIRAN
FB	LEASING, A LA CUENTA DE LEASING AL HABER
FC	LEASING, A LA CUENTA DEL PROVEEDOR AL DE
IN	INMOVILIZADO
RI	REGULARIZACION IVA
EX	EXPEDIENTES
DE	DIFERENCIAS DE REDONDEO AL EURO
01	PARKING
02	CORREO
03	COBRO FACTURAS VARIAS
04	TRANSFERENCIA PROVEEDORES
05	S/ FACTURA
06	N/ FACTURA
07	NOMINA
08	IRPF NOMINA
09	S.S. NOMINA
10	PAGO NOMINA
11	DIETAS Y KM.
12	TALON Nº
TL	TALON
TR	TRANFERENCIA
VI	Entregas/Ventas Intracom.
13	Desconocido
14	Certificado Final de Obra
15	Certificado Estado de Obra
16	Certificado de Fontaneria
17	Certificado de Electricidad
18	Certificado de Saneamientos
19	Anexo al Expediente
20	Certificado Final de Obra (PARCIAL)
21	Libro Incidencias
22	Conclusión de Obra
..	PATR.NETO AJUSTES CAMBIO CRITERIO
,,	PATR.NETO AJUSTES ERROR
23	Locomotzio
24	Devolucio rebut
25	Despeses de treball
26	Traspas
27	Prestacio Premaat
28	Despeses de cafeteria
29	Interesos al n/f
30	Retencio fiscal
31	Despeses financeres
32	Despeses Aval
33	P/Fra.n.
34	Quota Premaat
35	Assignacio
36	Abono
37	Liquidacio remesa rebuts domiciliats
38	Adeslas
39	Quota anual
40	Despeses
41	Quota soci
42	Reemborsament
43	Cobro
44	P/Saldo
45	Impost
46	Carrec liquidacio compte
47	Manteniment
48	Ingres
49	Liquidacio
50	P/Seguretat Social
51	Disposició Prèstec
52	Aportacio
53	Anulació
54	
55	Quota Amortització
56	Quota soci 2011 Fundació Ll.Solidaria
57	
  	 
58	Aportacio
59	Donacio
60	Amortitzacio
61	Regularització
62	P/
63	Recla
