contrato_ant	Contracte Ant.	fases	contrato_ant
dom_fiscal	Domicili Fiscal	colegiados	dom_fiscal
avisos.pasados_no_cobrados	Existeixen avisos que han sobrepasat la data de vencimient i encara no han sigut cobrats.Cobrar ara?	avisos	w_aplic_frame
barra_progreso.proesado	Processat	barra_progreso	procesado
beneficiarios.busqueda_rapida	Cerca Ràpida Beneficiaris	beneficiarios	busqueda_rapida
clientes.no_poner_general	( No posar si desitja usar la general )	clientes	no_poner_general
clientes.compartida	Compartida	clientes	compartida
clientes.url	URL	clientes	url
clientes.observaciones	Observacions	clientes	observaciones
clientes.buscar	Cerca	clientes	buscar
clientes.activa	Activa	clientes	activa
clientes.apell_soc_activo_teclear	Cognom/Societat actiu al teclejar	clientes	apellidos_soc_activo_teclear
clientes.cuenta_contable	Compte Comptable	clientes	cuenta_contable
clientes.email	Email	clientes	email
clientes.parametros_busqueda	Paràmetres de recerca	clientes	parametros_busqueda
clientes.n_cliente	Nom. Client	clientes	n_cliente
clientes.datos_economicos	Dades Econòmiques	clientes	datos_economicos
clientes.paramtero_completo	Introdueixi el paràmetre complet:	clientes	parametro_completo
clientes.cambios_ventana_no_grabar	Els canvis realitzats en aquesta finestra no es guardaran	clientes	cambios_ventana_no_grabar
clientes.tipo_persona	Tipus Persona Juríd.	clientes	tipo_persona
clientes.otros_datos	Altres Dades	clientes	otros_datos
clientes.apellidos_sociedad	Cognoms/Societat	clientes	apellidos_sociedad
clientes.visible_web	Visible en la web	clientes	visible_web
clientes.lista_personal	Llista Personal	clientes	lista_personal
clientes.nom_via	Nom via	clientes	nom_via
clientes.nif	NIF	clientes	nif
clientes.recuperando_info	RECUPERANT INFORMACIÓ	clientes	recuperando_info
clientes.tipo_persona_juridica	Tipus Persona Jurídica	clientes	tipo_persona_juridica
clientes.domicilio	Domicili	clientes	domicilio
clientes.fax	Fax	clientes	fax
clientes.provincia	Província	clientes	provincia
clientes.alta	Alta	clientes	alta
clientes.int_param_consulta_aceptar	Introdueixi els paràmetres de recerca i premi acceptar	clientes	introducir_param_busqueda
clientes.clientes_mismo_nif	Clients amb mateix nif	clientes	clientes_mismo_nif
clientes.listado_clientes_general	Llistat de Clients General	clientes	listado_clientes_general
clientes.nombre	Nom	clientes	nombre
clientes.pais	País	clientes	pais
clientes.poblacion	Població	clientes	poblacion
clientes.lista_nifs	NIFs separats per coma	clientes	lista_nifs
clientes.fecha_alta	Data Alta	clientes	fecha_alta
clientes.telefono	Telèfon	clientes	telefono
clientes.cod_pos	CP	clientes	cod_pos
clientes.apellidos_coma_nombre	Cognoms, Nom	clientes	apellidos_coma_nombre
