A         	01	2007	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
SEGURO    	01	2007	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
GRAL      	01	2007	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
MUTUA     	01	2007	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
TASADO    	01	2007	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
RECTIF    	01	2007	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
CURSOS    	01	2007	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
CUOTA     	01	2008	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
A         	01	2008	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
SEGURO    	01	2008	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
GRAL      	01	2008	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
TASADO    	01	2008	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
RECTIF    	01	2008	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
CURSOS    	01	2008	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
I. FINANC.	01	2008	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
CUOTA     	01	2009	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
A         	01	2009	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
SEGURO    	01	2009	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
MUTUA     	01	2009	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
TASADO    	01	2009	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
CURSOS    	01	2009	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
FINANC.   	01	2009	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
CUOTA     	01	2010	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
A         	01	2010	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
SEGURO    	01	2010	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
GRAL      	01	2010	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
MUTUA     	01	2010	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
TASADO    	01	2010	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
RECTIF    	01	2010	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
CURSOS    	01	2010	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
FINANC.   	01	2010	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
CUOTA     	01	2011	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
A         	01	2011	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
SEGURO    	01	2011	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
GRAL      	01	2011	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
MUTUA     	01	2011	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
TASADO    	01	2011	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
RECTIF    	01	2011	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
CURSOS    	01	2011	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
FINANC    	01	2011	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
CUOTA     	01	2007	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
MUTUA     	01	2008	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
RECTIF    	01	2009	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
GRAL      	01	2009	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
EXPEDI    	01	2007	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
EXPEDI    	01	2008	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
EXPEDI    	01	2009	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
EXPEDI    	01	2010	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
EXPEDI    	01	2011	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
