02	INGRESO
10	AMORTIZACION
11	DEVOLUCION
SI	APERTURA
15	GASTOS
17	CUOTA
18	PENDIENTE DEVOLVER COL.
88	CIERRE
31	IVA
33	NOMINA
35	DEVOLUCION CUOTA COL.
41	PENDIENTE DE PAGO COLEGIADO
50	DESCUENTO COLEGIADO
61	ASISTENCIA
63	PROVISION FONDOS
14	FACTURA Nº
44	COBRO
RG	Asiento de Regularización Proceso Intern
F6	FRA. PROVEEDOR (TOTAL)
F1	FRA.PROVEEDOR (GASTOS)
F2	FRA. PROVEEDOR (IVA)
F7	FACTURA
F4	FRA. PROVEEDOR (DTO.)
F3	FRA. PROVEEDOR (IRPF)
F5	FRA. PROVEEDOR (PAGO)
F9	FRA. PROVEEDOR (IRPF AL PROVEEDOR)
TR	TRANSFERENCIA
TL	TALON
HS	HONORARIOS
RS	FACTURAS DE EXPEDIENTES
SS	SEGURO
OT	OTROS
60	ASISTENCIA JUNTA
07	COBRO FACTURA Nº
38	PAGO SEGURIDAD SOCIAL
42	SEGURIDAD SOCIAL NOMINAS
43	SEGURIDAD SOCIAL EMPRESA
23	IRPF NOMINA
48	TRASPASO
03	TALON Nº
04	PAGO FACTURA Nº
05	APORTACION
06	PAGO
22	IRPF
08	INTERESES
09	RETENCION
12	REMESA
16	BAJA
13	PREMAAT
19	ABONO
01	VISADOS DIA
20	SRC%
21	SEGURO
24	PENDIENTE ABONAR
FA	IVA/IGIC  NO DEDUCIBLE, NO SE INCLUIRAN
FB	LEASING, A LA CUENTA DE LEASING AL HABER
FC	LEASING, A LA CUENTA DEL PROVEEDOR AL DE
ED	AL DEBE
EH	AL HABER
91	IVA TRIMESTRE
55	INGRESO EFECTIVO C.M. 45556
PE	PAGO EFECTIVO
DO	AB. DOMICILIACION VDOS. C.M.
RE	AB. REMESA VDOS. C.M.
VI	VISADOS DIA
CA	COBRO EFECTIVO VDOS.
PD	PDTE. COL. VDOS.
PC	PDTE. COMPENSAR COL. VDOS.
AD	A DEVOLVER, COL. VDOS.
25	DEVOLUCION PRIMA COMPLEMENTARIA VDOS.
