+     	+     	SIN NOMBRE                                                  	0000+	 	F		 
.     	.     	SIN NOMBRE                                                  	0000.	 	F		 
0     	0     	MURCIA                                                      	00000	 	F		 
00    	00    	SAN JAVIER                                                  	00030	035	F		 
00000 	00000 	MURCIA                                                      	00000	 	F		 
00012 	00012 	S. LA VERDE                                                 	00000	 	F		 
00030 	00030 	LOS ALCAZARES                                               	00000	 	F		 
0007  	0007  	SIN NOMBRE                                                  	00000	 	F		 
001   	001   	SIN NOMBRE                                                  	00000	 	F		 
0030  	0030  	ZARANDONA                                                   	00000	 	F		 
010   	010   	SIN NOMBRE                                                  	00001	 	F		 
01005 	01005 	VITORIA                                                     	00001	A	F		 
01008 	01008 	VITORIA                                                     	00001	A	F		 
0130  	0130  	BENIEL                                                      	00001	 	F		 
01400 	01400 	LLODIO                                                      	00001	A	F		 
02001 	02001 	ALBACETE                                                    	00002	A	F		 
02002 	02002 	ALBACETE                                                    	00002	A	F		 
02005 	02005 	ALBACETE                                                    	00002	A	F		 
02100 	02100 	TARAZONA DE LA MANCH                                        	00002	A	F		 
02400 	02400 	HELLIN                                                      	00002	A	F		 
02434 	02434 	LETUR                                                       	00002	A	F		 
02499 	02499 	CANCARIX                                                    	00002	A	F		 
02600 	02600 	VILLAROBLEDO                                                	00002	A	F		 
02640 	02640 	ALMANSA                                                     	00002	A	F		 
02660 	02660 	CAUDETE                                                     	00002	A	F		 
03    	03    	MAZARRON                                                    	00003	 	F		 
030   	030   	URB.ALTORREAL-MURCIA                                        	00003	 	F		 
030.  	030.  	SIN NOMBRE                                                  	00003	 	F		 
03001 	03001 	ALICANTE                                                    	00003	014	F		 
03002 	03002 	ALICANTE                                                    	00003	014	F		 
03004 	03004 	ALICANTE                                                    	00003	014	F		 
03005 	03005 	ALICANTE                                                    	00003	014	F		 
03006 	03006 	ALICANTE                                                    	00003	014	F		 
03007 	03007 	ALICANTE                                                    	00003	014	F		 
03008 	03008 	ALICANTE                                                    	00003	014	F		 
03009 	03009 	ALICANTE                                                    	00003	014	F		 
03010 	03010 	ALICANTE                                                    	00003	014	F		 
03013 	03013 	ALICANTE                                                    	00003	014	F		 
03016 	03016 	ALICANTE                                                    	00003	014	F		 
03080 	03080 	ALICANTE                                                    	00003	014	F		 
03110 	03110 	MUCHAMIEL                                                   	00003	A	F		 
03113 	03113 	ALICANTE                                                    	00003	014	F		 
03130 	03130 	SANTA POLA                                                  	00003	A	F		 
03140 	03140 	GUARDAMAR                                                   	00003	A	F		 
03150 	03150 	DOLORES                                                     	00003	A	F		 
03158 	03158 	CATRAL                                                      	00003	A	F		 
03160 	03160 	ALMORADI                                                    	00003	A	F		 
03170 	03170 	ROJALES                                                     	00003	A	F		 
03180 	03180 	TORREVIEJA                                                  	00003	A	F		 
03190 	03190 	EL PILAR HORADADA                                           	00003	A	F		 
03195 	03195 	EL ALTET                                                    	00003	A	F		 
03201 	03201 	ELCHE                                                       	00003	A	F		 
03202 	03202 	ELCHE                                                       	00003	A	F		 
03203 	03203 	ELCHE                                                       	00003	065	F		 
03204 	03204 	ELCHE                                                       	00003	A	F		 
03206 	03206 	ELCHE                                                       	00003	A	F		 
03290 	03290 	ELCHE                                                       	00003	A	F		 
03296 	03296 	ELCHE                                                       	00003	A	F		 
03300 	03300 	ORIHUELA                                                    	00003	099	F		 
03312 	03312 	ORIHUELA                                                    	00003	A	F		 
03340 	03340 	ALBATERA                                                    	00003	A	F		 
03348 	03348 	GRANJA DE ROCAMORA                                          	00003	A	F		 
03360 	03360 	CALLOSA DEL SEGURA                                          	00003	A	F		 
03370 	03370 	REDOVAN                                                     	00003	A	F		 
03380 	03380 	BIGASTRO                                                    	00003	A	F		 
03400 	03400 	VILLENA                                                     	00003	A	F		 
035   	035   	SIN NOMBRE                                                  	00003	 	F		 
03500 	03500 	BENIDORM                                                    	00003	A	F		 
03520 	03520 	POLOP DE LA MARINA                                          	00003	A	F		 
03540 	03540 	PLAYA SAN JUAN                                              	00003	A	F		 
03550 	03550 	SAN JUAN                                                    	00003	A	F		 
03560 	03560 	CAMPELLO                                                    	00003	A	F		 
03590 	03590 	ALTEA                                                       	00003	A	F		 
03600 	03600 	ELDA                                                        	00003	A	F		 
03610 	03610 	PETREL                                                      	00003	A	F		 
03660 	03660 	NOVELDA                                                     	00003	A	F		 
03670 	03670 	MONFORTE DEL CID                                            	00003	A	F		 
03680 	03680 	ASPE                                                        	00003	A	F		 
03690 	03690 	SAN VICENTE DEL RASPEIG                                     	00003	122	F		 
03698 	03698 	AGOST                                                       	00003	A	F		 
03700 	03700 	DENIA                                                       	00003	A	F		 
03750 	03750 	PEDREGUER                                                   	00003	A	F		 
03802 	03802 	ALCOY                                                       	00003	A	F		 
03820 	03820 	COCENTAINA                                                  	00003	A	F		 
04001 	04001 	ALMERIA                                                     	00004	A	F		 
04004 	04004 	ALMERIA                                                     	00004	A	F		 
04005 	04005 	ALMERIA                                                     	00004	A	F		 
04006 	04006 	ALMERIA                                                     	00004	A	F		 
04007 	04007 	ALMERIA                                                     	00004	A	F		 
04400 	04400 	ALHAMA DE ALMERIA                                           	00004	A	F		 
04600 	04600 	HUERCAL OVERA                                               	00004	A	F		 
04610 	04610 	CUEVAS DE ALMANZORA                                         	00004	 	F		 
04620 	04620 	VERA                                                        	00004	A	F		 
04630 	04630 	GARRUCHA                                                    	00004	 	F		 
04639 	04639 	TURRE                                                       	00004	 	F		 
04693 	04693 	HUERCAL-OVERA                                               	00004	 	F		 
04820 	04820 	VELEZ RUBIO                                                 	00004	 	F		 
04838 	04838 	MARIA                                                       	00004	 	F		 
04860 	04860 	OLULA DEL RIO                                               	00004	 	F		 
0500  	0500  	SIN NOMBRE                                                  	00005	 	F		 
05001 	05001 	AVILA                                                       	00005	 	F		 
06002 	06002 	BADAJOZ                                                     	00006	 	F		 
06005 	06005 	BADAJOZ                                                     	00006	 	F		 
06011 	06011 	BADAJOZ                                                     	00006	 	F		 
