E         	ESPECIAL: PUEDE HACER TODO.                       
ESIG      	ADMINISTRADOR SISTEMA (SIGESCON)                  
E501      	CREAR EJERCICIO                                   
E502      	REPETIR CIERRE                                    
E503      	CREAR NUEVA EMPRESA                               
E510      	FACTURAS RECIBIDAS                                
E511      	PROVEEDORES                                       
E512      	EMISIÓN DE PAGOS                                  
E550      	LIBRO DEL IVA CONTABLE                            
E552      	DIARIO OFICIAL                                    
E551      	LIBRO DIARIO OFICIAL                              
E530      	LIST. DE ASIENTOS / APUNTES                       
E533      	LIST. DE CLIENTES/PROVEEDORES                     
E540      	LIST. INTRACOMUNITARIOS                           
E539      	LIST. 347/190                                     
E537      	LIST. COMPARACION GASTOS                          
E538      	LIST. DE COBROS                                   
E531      	LIST. DE PRESUPUESTOS                             
E532      	LIST. DE PRESUPUESTOS CTAS. PRESUP.               
E535      	LIST. DE INMOVILIZADO ANUAL                       
E522      	MTO. ARTICULOS                                    
E521      	MTO. DE CLIENTES                                  
E553      	NUMERACIÓN DOCUMENTOS CAJA                        
E590      	COMPROBAR ASIENTOS DESCUADRADOS                   
E591      	REGENERACIÓN DE SALDOS Y CUENTAS                  
E592      	OBTENER SALDO CUENTA                              
E593      	COMPROBAR CUENTAS SUBNIVELES                      
E594      	COMPROBAR APTES. CUENTA NO DESARR.                
E595      	COMPROBAR APTES. SIN CUENTA                       
E596      	COMPROBAR APTES. CUENTA NO EXISTE                 
E597      	BUSCAR APTES. PRESUP. INCORRECTOS                 
E598      	BUSCAR APTES. SIN CTA. PRESUP.                    
E599      	RENUMERAC. ASIENTOS POR DIARIO                    
E554      	DIARIO RESUMEN POR MESES                          
E570      	PLAN DE CUENTAS                                   
E572      	INTRODUCCIÓN MANUAL DE ASIENTOS                   
E573      	MODIFICACIÓN DE ASIENTOS                          
E574      	INFORMES ANALÍTICOS Y BALANCES DE SUMAS           
E575      	BALANCES OFICIALES                                
E576      	EXTRACTOS DE CUENTAS                              
E571      	PRESUPUESTOS                                      
E577      	CONCILIACIÓN DE CUENTAS                           
E578      	ELEMENTOS DE INMOVILIZADO ANUAL                   
E580      	CÁLCULO DE AMORTIZACIONES ANUAL                   
E621      	CONTABILIZAC. FR                                  
E622      	CONTABILIZAC. PAGOS FR                            
E623      	BORRAR FR                                         
E624      	CONTABILIZAC. FE                                  
E625      	CONTABILIZAC. COBROS FE                           
E626      	IMPRIMIR FE                                       
E627      	BORRAR ASIENTOS                                   
E628      	GENERAR TALONES PAGOS                             
E629      	GENERAR PAGARES PAGOS                             
E630      	GENERAR TRANSFERENCIAS PAGOS                      
E536      	LIST. DE INMOVILIZADO MENSUAL                     
E541      	LIST. DE PAGOS                                    
