01	Presupuesto	S	N	S	S	N	
02	Fase Inicial	N	S	S	N	N	
03	Licitacion	S	N	S	S	N	
04	Puesta en Marcha	N	S	S	N	N	
05	LIBRO INCIDENCIAS	N	S	S	N	N	
07	REGISTRO DE CALIDAD	N	S	S	N	S	02
LO	LIBRO ORDENES	N	S	S	N	N	
AR	ACTA REPLANTEO	N	S	S	N	N	
RE	ACTA RECEPCION	N	S	S	N	N	
CF	CERTIFICADO FINAL COORDINACION	N	N	S	N	N	
DA	DOC.ACEPTACION NORMAS SEGURIDAD	N	N	S	N	N	
LE	CERTIF. LIQUIDACION ECONOMICA FINAL DE OBRA.	N	N	S	N	N	
CA	CERTIF.CONFORMIDAD MONTAJE ANDAMIOS	N	S	S	N	N	
OC	CERTIFICADO OBRA CONCLUIDA	N	N	S	N	N	
EL	LIBRO DEL EDIFICIO	N	N	S	N	N	
AC	ACTA DESIGNACION COORDINADOR	N	N	S	N	N	
AP	ACTA RECURSO PREVENTIVO	N	N	S	N	N	
CI	CERTIFICADO DE INSTALACIONES	N	N	S	N	N	
CC	CERTIFICADO AJUSTE CONTENIDO PROYECTO	N	N	S	N	N	
AV	ACTA DE VISITA E INSPECCION DEL COORDINADOR	N	N	S	N	N	
RP	DESIGNACION RECURSO PREVENTIVO	N	N	S	N	N	
PR	AVISO PREVIO	N	N	N	N	N	
CO	CERTIFICADO DE OCUPACION	N	N	N	N	N	
EP	ESCANEADO DE PLAN SEGURIDAD	N	N	N	N	N	
AA	VISADA ACTA PLAN SEGURIDAD	N	N	N	N	N	
IP	VISADO INFORME PLAN SEGURIDAD	N	N	N	N	N	
RA	REGISTRADA ACTA PLAN SEGURIDAD	N	N	N	N	N	
IR	REGISTRADO INFORME PLAN SEGURIDAD	N	N	N	N	N	
CE	CERTIFICADO EFICIENCIA ENERGETICA	N	N	N	N	N	
AX	ANEXOS O MOD. A DOCUMENTACION ORIGINAL	N	N	N	N	S	
IS	INFORME SIVA	N	N	S	N	N	
08	NOTA DE ENCARGO	N	N	S	N	N	
09	DOC. COLEGIADO. SELLAR	N	N	S	N	N	
10	ANEXOS. NO SELLAR	N	N	S	N	N	
11	ESCRITO COLEGIO NO SELLAR	N	N	S	N	N	
12	DOC. EMAIL PREVIO	N	N	S	N	N	
