*   	01	% 	.02	2.0
*   	02	% 	.02	1.5
*   	03	% 	.02	1.0
*   	04	% 	.02	3.0
*   	05	% 	.02	2.5
*   	11	% 	1.0	4.0
*   	12	% 	1.0	3.0
*   	13	% 	1.0	1.0
*   	14	% 	1.0	1.0
*   	15	% 	1.0	3.0
*   	16	% 	1.0	1.0
*   	17	% 	1.0	1.0
*   	31	% 	.02	2.5
*   	32	% 	.02	1.5
*   	33	% 	.02	1.0
*   	41	% 	1.0	2.0
*   	42	% 	1.0	2.0
*   	43	% 	1.0	3.0
*   	44	% 	1.0	2.0
*   	45	% 	1.0	1.0
*   	46	% 	1.0	1.0
*   	51	% 	1.0	3.0
*   	52	% 	1.0	2.0
*   	53	% 	1.0	1.0
*   	54	% 	1.0	2.0
*   	6%	% 	1.0	1.0
*   	7%	% 	1.0	1.0
*   	8%	% 	1.0	1.0
*   	9%	% 	1.0	1.0
