COLEGIADOS	01	2008	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
MU        	01	2008	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
RECTIF    	01	2008	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
V         	01	2008	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
COLEGIADOS	01	2009	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
MU        	01	2009	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
RECTIF    	01	2009	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
V         	01	2009	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
COLEGIADOS	01	2010	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
RECTIF    	01	2010	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
V         	01	2010	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
COLEGIADOS	01	2011	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
MU        	01	2011	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
RECTIF    	01	2011	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
V         	01	2011	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
MU        	01	2010	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
F         	01	2008	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
F         	01	2009	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
F         	01	2010	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
F         	01	2011	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
PREMAA    	01	2008	% 	Cabecera            	RECIBO 
MUSAAT    	01	2008	% 	Cabecera            	RECIBO 
R         	01	2008	% 	Cabecera            	RECIBO 
PF        	01	2008	% 	Cabecera            	RECIBO 
PREMAA    	01	2009	% 	Cabecera            	RECIBO 
MUSAAT    	01	2009	% 	Cabecera            	RECIBO 
R         	01	2009	% 	Cabecera            	RECIBO 
PF        	01	2009	% 	Cabecera            	RECIBO 
PREMAA    	01	2010	% 	Cabecera            	RECIBO 
MUSAAT    	01	2010	% 	Cabecera            	RECIBO 
R         	01	2010	% 	Cabecera            	RECIBO 
PF        	01	2010	% 	Cabecera            	RECIBO 
PREMAA    	01	2011	% 	Cabecera            	RECIBO 
MUSAAT    	01	2011	% 	Cabecera            	RECIBO 
R         	01	2011	% 	Cabecera            	RECIBO 
PF        	01	2011	% 	Cabecera            	RECIBO 
NAPC      	02	2011	% 	Cabecera            	RECIBO 
NAPF      	02	2011	% 	Cabecera            	RECIBO 
NAPM      	02	2011	% 	Cabecera            	RECIBO 
RECTIF    	02	2011	% 	Cabecera            	RECIBO 
PROFOR    	01	2010	% 	Cabecera            	PROFORMA
PROFOR    	01	2011	% 	Cabecera            	PROFORMA
PROFOR    	02	2011	% 	Cabecera            	PROFORMA
%         	% 	%   	% 	Cabecera            	FACTURA
COLEGIADOS	01	2008	% 	N_fact              	FACTURA Nº
MU        	01	2008	% 	N_fact              	FACTURA Nº
RECTIF    	01	2008	% 	N_fact              	FACTURA Nº
V         	01	2008	% 	N_fact              	FACTURA Nº
COLEGIADOS	01	2009	% 	N_fact              	FACTURA Nº
MU        	01	2009	% 	N_fact              	FACTURA Nº
RECTIF    	01	2009	% 	N_fact              	FACTURA Nº
V         	01	2009	% 	N_fact              	FACTURA Nº
COLEGIADOS	01	2010	% 	N_fact              	FACTURA Nº
RECTIF    	01	2010	% 	N_fact              	FACTURA Nº
V         	01	2010	% 	N_fact              	FACTURA Nº
COLEGIADOS	01	2011	% 	N_fact              	FACTURA Nº
MU        	01	2011	% 	N_fact              	FACTURA Nº
