01	CLIENTE COOAT
02	COLEGIO
03	MUTUALIDADES
04	BENEFICIARIO PREMAAT
05	EMPLEADOS
08	AYUNTAMIENTOS
09	ORGANIZADORES CURSOS
11	COAAT COLABORADORES CURSOS
10	PROFESORES DE CURSOS
13	CONSTRUCTORES
12	EMPRESAS OFERTANTES DE CURSOS
16	FUNCIONARIOS
17	UNIVERSIDAD
18	EMPRESA DE ASALARIADOS
06	PROVEEDOR
19	ABOGADOS
20	PROCURADORES
21	ORGANIZADOR VIAJES
22	CLIENTE - ASOCIACION
23	REPRESENTANTE
24	OFERTANTE DE CURSOS
25	ARQUITECTOS
26	CLIENTES DE CONTABILIDAD
27	ASISTENTES A CURSOS
A 	SOCIEDADES ANONIMAS
B 	SOCIEDADES DE RESPONSABILIDAD LIMITADA
C 	SOCIEDADES COLECTIVAS
D 	SOCIEDADES COMANDITARIAS
E 	COMUNIDAD DE BIENES
F 	SOCIEDADES COOPERATIVAS
G 	ASOC. Y OTROS TIPOS NO DEFINIDOS
H 	CMDAD.DE PROP.EN REG.DE PROP.HORIZONTAL
P 	CORPORACIONES LOCALES
Q 	ORG.AUTON.EST.O NO Y ASIM. CONGRE.E INST
S 	ORGANOS DE LA ADM.DEL ESTADO Y CC.AA.
X 	PERSONAS FISICAS
EX	CLIENTES VISADO
28	PRÉSTAMO DE APARATOS
