DR	DELEG. REUS	REUS	 
DV	DELEG. VENDRELL	VENDRELL	 
JM	JOAN MIRO	 	 
PC	P.I.CONSTANTI	NAU CONSTANTI	CITAM
PF	P.I.FRANCOLI	NAU FRANCOLI	FRANCOLI
SCA	SEU COL.LEGIAL	TARRAGONA	Avda. Pres
SCA1	ARXIU GRAN	 	 
SCA10	GABINET TECNIC	 	 
SCA11	GENERAL	 	 
SCA12	GERENCIA	 	 
SCA13	INFORMATICA	 	 
SCA14	INSTAL.1a PLANTA	 	 
SCA15	INSTAL. 2a PLANTA	 	 
SCA16	DESPATX MBRES JTA	 	 
SCA17	ONG	 	 
SCA18	PARKING	 	 
SCA19	PASSADIS 1a PLANTA	 	 
SCA2	DINAMITZACIÓ	 	 
SCA20	PRESIDENCIA	 	 
SCA21	SALA COL.LEGIATS	 	 
SCA22	SALA D'ACTES	 	 
SCA23	SALA DE JUNTES	 	 
SCA24	SALA MAQUINES	 	 
SCA25	SECRETARIA	 	 
SCA26	SEMISOTAN-TOPOGRAFIA	 	 
SCA27	SERVIDOR INFORMATICA	 	 
SCA28	VISATS	 	 
SCA29	SALA POLIVALENT	 	 
SCA3	ASSEGURANCES-DECENAL	 	 
SCA4	AULA INFORMATICA	 	 
SCA5	BIBLIOTECA	 	 
SCA6	CAFETERIA	 	 
SCA7	CAP VISATS	 	 
SCA8	COMPTABILITAT	 	 
SCA9	ENTRADA	 	 
SE	SERVEIS EXTERNS	ABANS JOAN MIRO	 
VA	VALLS	 	 
