COLEGIADOS	01	2008	% 	Cabecera            	   Rebut / Factura 
RECTIF    	01	2008	% 	Cabecera            	   Rebut / Factura 
CENDOC    	01	2008	% 	Cabecera            	   Rebut / Factura 
CITAM     	01	2008	% 	Cabecera            	   Rebut / Factura 
DINAM     	01	2008	% 	Cabecera            	   Rebut / Factura 
MANTEN    	01	2008	% 	Cabecera            	   Rebut / Factura 
SECRE     	01	2008	% 	Cabecera            	   Rebut / Factura 
AULA      	01	2008	% 	Cabecera            	   Rebut / Factura 
CEET      	01	2008	% 	Cabecera            	   Rebut / Factura 
ESPEC     	01	2008	% 	Cabecera            	   Rebut / Factura 
PLOT      	01	2008	% 	Cabecera            	   Rebut / Factura 
TOPOG     	01	2008	% 	Cabecera            	   Rebut / Factura 
DTE       	01	2008	% 	Cabecera            	   Rebut / Factura 
MUS       	01	2008	% 	Cabecera            	   Rebut / Factura 
DTE       	01	XX  	% 	Cabecera            	   Rebut / Factura 
MUS       	01	XX  	% 	Cabecera            	   Rebut / Factura 
ARRES     	01	XX  	% 	Cabecera            	   Rebut / Factura 
QUOTES    	01	XX  	% 	Cabecera            	   Rebut / Factura 
QUOTES    	01	2008	% 	Cabecera            	   Rebut / Factura 
ARRES     	01	2008	% 	Cabecera            	   Rebut / Factura 
COLEGIADOS	01	2009	% 	Cabecera            	   Rebut / Factura 
RECTIF    	01	2009	% 	Cabecera            	   Rebut / Factura 
CENDOC    	01	2009	% 	Cabecera            	   Rebut / Factura 
CITAM     	01	2009	% 	Cabecera            	   Rebut / Factura 
DINAM     	01	2009	% 	Cabecera            	   Rebut / Factura 
MANTEN    	01	2009	% 	Cabecera            	   Rebut / Factura 
SEREX     	01	2009	% 	Cabecera            	   Rebut / Factura 
SISINF    	01	2009	% 	Cabecera            	   Rebut / Factura 
AULA      	01	2009	% 	Cabecera            	   Rebut / Factura 
CEET      	01	2009	% 	Cabecera            	   Rebut / Factura 
TOPOG     	01	2009	% 	Cabecera            	   Rebut / Factura 
DTE       	01	2009	% 	Cabecera            	   Rebut / Factura 
