C000000001	Certificado de ponentes	4. Certificado PONENTES.doc	CURSOS_PONENTES	
C000000002	Certificado cursos realizados	2. Certificado CURSOS REALIZADOS.doc	CURSOS_ASISTENTES	
C000000003	Certificado asistencia a curso colegiado	1. Certificado ASISTENCIA A CURSO.doc	CURSOS_ASISTENTES	
C000000004	Certificado asistencia a curso no colegiado	3. Certificado no coleg. ASISTENCIA A CURSO.doc	CURSOS_ASISTENTES	
C000000005	Diploma I	DIPLOMA 1.doc	CURSOS_ASISTENTES	
C000000006	Diploma II	6. DIPLOMA varios ponentes.doc	CURSOS_ASISTENTES	
C000000007	Encuesta	0. Encuesta.doc	CURSOS_ENCUESTAS	
C000000008	Cofirmación de Inscripcion con plaza para 
colegiados	p_inscripcion_colegiados.txt	CURSOS_EMAILS	
C000000009	Cofirmación de Inscripcion con plaza para no 
colegiados	p_inscripcion_no_colegiados.txt	CURSOS_EMAILS	
C000000010	Cofirmación de Inscripcion en lista de 
espera	p_inscripcion_espera.txt	CURSOS_EMAILS	
C000000011	Cofirmación de Inscripcion para curso sin fecha 
colegiados	p_inscripcion_reserva.txt	CURSOS_EMAILS	
C000000012	Libre	p_inscripcion_libre.txt	CURSOS_EMAILS	
0000000080	CERT.COL.SECRETARIA	COL·LEGIAT.TEMA SALLE.SECRETARIA.doc	COLEGIADOS	N
0000000081	CERT.CURSOS SECRETARIA	CURSOS.LA SALLE.SECRETARIA.doc	COLEGIADOS	N
0000000082	CERT.VISATS SECRETARIA	VISATS.LA SALLE.SECRETARIA.doc	COLEGIADOS	N
0000000083	CERT.COL.SECRETARI ACCIDENTAL	COL·LEGIAT.TEMA SALLE.SECRETARI ACCIDENTAL.doc	COLEGIADOS	N
0000000084	CERT.CURSOS SECRETARI ACCIDENTAL	CURSOS.LA SALLE.SECRETARI ACCIDENTAL.doc	COLEGIADOS	N
0000100033	CERT.VISATS SECRETARI ACCIDENTAL	VISATS.LA SALLE.SECRETARI ACCIDENTAL.doc	COLEGIADOS	N
0000100085	CERT.COL.HABILITATS.SECRETARIA	COL·LEGIAT HABILITAT.TEMA SALLE.SECRETARIA.doc	COLEGIADOS	N
0000100086	CERT.COL.HABILITATS.VISATS	VISATS HABILITATS.LA SALLE.SECRETARIA.doc	COLEGIADOS	N
0000100090	CERTIF.COL·LEGIACIÓ+MUSAAT	COL·LEGIAT+MUSAAT.doc	COLEGIADOS	N
0000100091	VISATS+COL+SOCIETAT	VISATS+COL+SOCIETATS.doc	COLEGIADOS	N
0000000087	CARTA DEUTOR 3-4 QUOTES COL.	3-4 QUOTES DEUTORES.docx	COLEGIADOS	N
0000000088	CARTA DEUTOR 5-6 QUOTES COL.	5-6 QUOTES DEUTORES.docx	COLEGIADOS	N
0000000089	CARTA DEUTOR 7 I MÉS QUOTES COL.	7 I MÉS QUOTES DEUTORES.docx	COLEGIADOS	N
0000000092	AJUT AL JUBILAT	carta ajuda jubialts 2009.model.docx	COLEGIADOS	N
0000000093	CERTIF.COL.TITULACIÓ	CERTIF.COL.CASTELLO.doc	COLEGIADOS	N
0000100053	JAUME_TEST	JAUME.doc	COLEGIADOS	N
0000000095	HEREUS MUSAAT	Hereus MUSAAT.docx	COLEGIADOS	N
0000100061	FORMULARI ALTA WEB	FORMULARI ALTA WEB.doc	COLEGIADOS	N
0000100066	carta participacio beneficis PREMAAT	carta participacio beneficis PREMAAT.docx	COLEGIADOS	N
0000100068	carta societat	carta societat.docx	COLEGIADOS	N
0000100071	CARTA DURA	CARTA DURA.doc	COLEGIADOS	N
0000100078	CERTIF.RED.PRIMA POCA ACT	CERTIF.RED.PRIMA POCA ACT.docx	COLEGIADOS	N
0000100080	CERTIF. COL·LEGIACIÓ+PREMAAT	COL·LEGIAT+PREMAAT.doc	COLEGIADOS	N
