15        	HONORARIOS	H	HONOS		N	S	0.0	S	N	0.0	100	COAATTFE  	05	S		N	HON	N			S	S	01		N
62        	GASTOS POR DESPLAZAMIENTO	H	HONOS		S	S	0.0	S	S	0.0	101	COAATTFE  	05	N		N	DES	N			S	S	01		N
EXP       	CONCEPTOS DE EXPEDIENTES	E	-		S	S	0.0	S	S	0.0	0	COAATTFE  	00	N		S	EXP	N			N	N	01		N
200       	CUOTA COLEGIAL	03	-	70000001	N	S	45.579999999999998	S	N	0.0	300	COAATTFE  	00	N		S	CCO	N		N	N	N	01		N
201       	CUOTA COLEGIAL - ANUAL	03	-	70000006	N	S	0.0	S	N	0.0	301	COAATTFE  	00	N		S	CUOTA COLEGIAL - ANUAL	N		S	N	N	01		N
100       	MUSAAT- REGU. PRIMA FIJA	01	-	41100001	S	S	0.0	S	N	0.0	0	COAATTFE  	00	N		S	RPF	N			N	N	01		N
101       	MUSAAT- ALTA	01	-	75400002	S	S	0.0	S	N	0.0	0	COAATTFE  	16	N		N	IMU	N			N	N	01		N
102       	MUSAAT - PRIMA FIJA (TOTAL)	01	-	41100001	S	S	0.0	S	N	0.0	0	COAATTFE  	00	N		S	PFT	N			N	N	01		N
103       	MUSAAT - PRIMA FIJA (PLAZO 1)	01	-	41100001	S	S	0.0	S	N	0.0	0	COAATTFE  	00	N		S	PF1	N			N	N	01		N
104       	MUSAAT - PRIMA FIJA (PLAZO 2)	01	-	41100001	S	S	0.0	S	N	0.0	0	COAATTFE  	00	N		S	PF2	N			N	N	01		N
150       	PREMAAT - CUOTAS ATRASADAS	02	-	45400002	N	S	0.0	S	N	0.0	0	COAATTFE  	00	N		S	RPR	N			N	N	01		N
151       	PAGO PRESTACIONES PREMAAT	02	-	45400001	N	S	0.0	S	N	0.0	0	COAATTFE  	00	N		S	PRE	N		S	N	N	01		N
154       	PREMAAT INGRESO	02	99	75400003	N	S	0.0	S	N	0.0	0	COAATTFE  	16	N		N	RPR	N		S	N	N	01		N
202       	CUOTA COLEGIAL - INCORPORACION	03	-	70000002	N	S	100.0	S	N	0.0	0	COAATTFE  	00	N		S	CUOTA COLEGIAL - INCORPORACION	N		S	N	N	01		N
150Vb     	PREMAAT - RECOMPRA VIUDEDAD (BASICO)	02	-	45400002	N	S	0.0	N	N	0.0	0	COAATTFE  	00	N		S	Vb	N		S	N	N	01		N
150Sv     	PREMAAT - SEGURO DE VIDA	02	-	45400002	N	S	0.0	S	N	0.0	0	COAATTFE  	00	N		S	Sv	N			N	N	01		N
