0000001001	T	numero_lineas	N	10	0000001001	1
0000001002	T	cuenta	N	5700000000	0000001001	1
0000001003	T	fecha	S	fecha_sistema	0000001001	1
0000001004	T	concepto	N	CAJA-CIP Nº	0000001001	1
0000001005	T	centro	N	T	0000001001	1
0000001006	T	t_doc	N	CC	0000001001	1
0000001007	T	proyecto	N	00000	0000001001	1
0000001008	T	conciliada	N	N	0000001001	1
0000001009	T	cuenta	N	7050020000	0000001001	2
0000001010	T	cuenta	N	5700000000	0000001001	3
0000001011	T	concepto	N	CAJA-IGIC Nº	0000001001	3
0000001012	T	cuenta	N	4770070002	0000001001	4
0000001013	T	t_doc	N	CI	0000001001	3
0000001014	T	concepto	N	CAJA-IGIC Nº	0000001001	4
0000001015	T	t_doc	N	CI	0000001001	4
0000001016	T	cuenta	N	5700000000	0000001001	5
0000001017	T	t_doc	N	CS	0000001001	5
0000001018	T	concepto	N	CAJA-PRIMA VARIABLE SRC Nº	0000001001	5
0000001019	T	cuenta	N	4010010000	0000001001	6
0000001020	T	t_doc	N	CS	0000001001	6
0000001021	T	concepto	N	CAJA-PRIMA VARIABLE SRC Nº	0000001001	6
0000001022	T	cuenta	N	5700000000	0000001001	7
0000001023	T	t_doc	N	CH	0000001001	7
0000001024	T	concepto	N	CAJA-HONORARIOS VDO. Nº	0000001001	7
0000001026	T	cuenta	N	4000000000	0000001001	8
0000001027	T	t_doc	N	CH	0000001001	8
0000001028	T	concepto	N	CAJA-HONORARIOS VDO. Nº	0000001001	8
0000001029	T	cuenta	N	5700000000	0000001001	9
0000001030	T	t_doc	N	CH	0000001001	9
0000001031	T	concepto	N	CAJA-HONORARIOS VDO. Nº	0000001001	9
0000001032	T	cuenta	N	4000000000	0000001001	9
0000001033	T	t_doc	N	CH	0000001001	9
0000001034	T	concepto	N	CAJA-HONORARIOS VDO. Nº	0000001001	9
0000001035	T	cuenta	N	5700000000	0000001001	10
0000001036	T	t_doc	N	CH	0000001001	10
0000001037	T	concepto	N	CAJA-HONORARIOS VDO. Nº	0000001001	10
0000001038	T	cuenta	N	4000000000	0000001001	10
0000001039	T	t_doc	N	CH	0000001001	10
0000001040	T	concepto	N	CAJA-HONORARIOS VDO. Nº	0000001001	10
