SI	Apertura
88	Cierre
RG	Asiento de Regularización Proceso Intern
F6	FRA. PROVEEDOR (TOTAL)
F1	FRA.PROVEEDOR (GASTOS)
F2	FRA. PROVEEDOR (IGIC)
F7	FACTURA
F4	FRA. PROVEEDOR (DTO.)
F3	FRA. PROVEEDOR (IRPF)
F5	FRA. PROVEEDOR (PAGO)
F9	FRA. PROVEEDOR (IRPF AL PROVEEDOR)
TL	Talón nº
TR	Transferencia
00	GENERAL
RS	Facturas
SS	Seguro
16	Liquidaciones
02	Traspasos
HS	Honorarios
FA	IVA/IGIC  NO DEDUCIBLE, NO SE INCLUIRAN
FB	LEASING, A LA CUENTA DE LEASING AL HABER
FC	LEASING, A LA CUENTA DEL PROVEEDOR AL DE
ED	AL DEBE
EH	AL HABER
IN	Inmovilizado
MI	Expedientes
RI	Regularización IGIC
Dv	Devolucion giro
Rp	Reposición de fondos
SV	Subvención
CJ	CAJA -
CC	CAJA-C.I.P.
CI	CAJA-IGIC
CS	CAJA-PRIMA VARIABLE SRC.
CH	CAJA-HONORARIOS VDO. Nº
IC	CAJA-INGRESO CAJA RURAL-
CT	CAJA-ALQUILER TAQUIMETRO
CL	CAJA-LIBRO INCIDENCIA
RD	RECIBO DEVUELTO C.
AP	ASIENTO DE APERTURA
