0A	ALICANTE
0B	BARCELONA
0C	A CORUÑA
0H	HUELVA
0J	JAEN
0M	MADRID
0O	ASTURIAS
0P	PALENCIA
0S	CANTABRIA
0T	TARRAGONA
0V	VALENCIA
0Z	ZARAGOZA
AB	ALBACETE
AL	ALMERIA
AV	AVILA
BA	BADAJOZ
BI	BIZKAIA
BU	BURGOS
CA	CADIZ
CC	CACERES
CO	CORDOBA
CR	CIUDAD REAL
CS	CASTELLON
CU	CUENCA
FU	FUERTEVENTURA
GC	GRAN CANARIA
GI	GIRONA
GR	GRANADA
GU	GUADALAJARA
HU	HUESCA
IF	IBIZA-FORMENTERA
LA	LANZAROTE
LE	LEON
LL	LLEIDA
LO	LA RIOJA
LU	LUGO
MA	MALAGA
ME	MENORCA
MU	MURCIA
NA	NAVARRA
OU	ORENSE
PM	MALLORCA
PO	PONTEVEDRA
SA	SALAMANCA
SE	SEVILLA
SG	SEGOVIA
SO	SORIA
SS	GIPUZKOA
TB	TERRES DE L'EBRE
TE	TERUEL
TF	TENERIFE
TO	TOLEDO
VA	VALLADOLID
VI	ALAVA
ZA	ZAMORA
