  	APYG      	10395.25		01	2015
00	129       	-78903.729999999996		01	2008
00	129       	-16628.369999999999		01	2009
00	129       	-56789.709999999999		01	2010
00	129       	12103.85		01	2011
00	129       	33829.290000000001		01	2012
00	129       	27523.970000000001		01	2013
00	129       	23009.36000000003		01	2014
00	129       	-10395.25		01	2015
00	129       	1248.47		02	2010
00	129       	-2869.1399999999999		02	2011
00	129       	-3318.2600000000002		02	2012
00	129       	-53.099999999999604		02	2013
00	129       	-213.65000000000001		02	2014
00	129       	-1672.5999999999999		02	2015
00	APNN      	-33829.290000000001		01	2012
00	APNN      	-27523.970000000001		01	2013
00	APYG      	-33829.290000000001		01	2012
00	APYG      	0.0		01	2013
00	APYG      	0.0		01	2014
00	APYG      	-10395.25		01	2015
00	APYG      	3318.2600000000002		02	2012
00	APYG      	0.0		02	2013
00	APYG      	-213.65000000000001		02	2014
00	APYG      	-1672.5999999999999		02	2015
00	GTOS      	162672.75		01	2008
00	GTOS      	227377.57999999999		01	2009
00	GTOS      	168752.69		01	2010
00	GTOS      	163451.26999999999		01	2011
00	GTOS      	153883.10000000001		01	2012
00	GTOS      	155366.91		01	2013
00	GTOS      	146551.14000000001		01	2014
00	GTOS      	0.0		01	2015
00	GTOS      	1248.47		02	2010
00	GTOS      	4174.8500000000004		02	2011
00	GTOS      	6166.96		02	2012
00	GTOS      	7832.3400000000001		02	2013
00	GTOS      	8308.3999999999996		02	2014
00	GTOS      	8655.6200000000008		02	2015
00	IMAI      	42283.739999999998		01	2012
00	IMAI      	-27523.970000000001		01	2013
00	IMAI      	-29196.5		01	2014
00	IMAI      	10395.25		01	2015
00	IMAI      	-4424.3500000000004		02	2012
00	IMAI      	70.799999999999997		02	2013
00	IMAI      	284.87		02	2014
00	IMAI      	2229.9200000000001		02	2015
03	GTOS      	162672.75		01	2008
03	GTOS      	10083.32		01	2009
03	IMAI      	-14718.809999999999		01	2009
05	GTOS      	43585.739999999998		01	2010
06	GTOS      	162672.75		01	2008
06	GTOS      	13770.700000000001		01	2009
08	129       	-1317.9100000000001		01	2010
08	GTOS      	10441.049999999999		01	2010
09	129       	-6396.1899999999996		01	2012
09	GTOS      	9403.0499999999993		01	2012
12	129       	-78903.729999999996		01	2008
12	129       	-16628.369999999999		01	2009
12	129       	17305.990000000002		01	2010
12	APNN      	78903.729999996838		01	2008
12	APNN      	16628.369999999999		01	2009
12	APYG      	0.0		01	2008
12	APYG      	16628.369999999999		01	2009
12	GTOS      	162672.75		01	2008
12	GTOS      	227377.57999999999		01	2009
12	GTOS      	44887.889999999999		01	2010
12	IMAI      	79266.529999999999		01	2008
12	IMAI      	-17437.240000000002		01	2009
3 	129       	-78903.729999999996		01	2008
3 	129       	-14718.809999999999		01	2009
3 	APYG      	14718.809999999999		01	2009
5 	129       	-33134.959999999999		01	2010
6 	129       	-78903.729999999996		01	2008
6 	129       	-20352.02		01	2009
