#1	ECPN Aumentos/Reducciones Capital
#3	ECPN Conv.Pasivos Patr.Neto
#5	ECPN Operacs. acciones o partic.
#6	ECPN Increm./Reducc. Patr.Neto comb.neg.
#C	ECPN Aj.cambio crit.Ejer.N-1 dif.
#E	ECPN Aj.Err.Ejer.N-1 dif.
#G	ECPN Aj.cambio crit.Ejer.N-2 dif.
#H	ECPN Aj.Err.Ejer.N-2 dif.
#R	EIGR Regularizac.Ejer.
#T	EIGR Transf.PyG ambas secc.
,,	PATR.NETO AJUSTES ERROR
..	PATR.NETO AJUSTES CAMBIO CRITERIO
01	PARKING
02	CORREO
03	COBRO FACTURAS VARIAS
04	TRANSFERENCIA PROVEEDORES
05	S/ FACTURA
06	N/ FACTURA
07	NOMINA
08	IRPF NOMINA
09	S.S. NOMINA
10	PAGO NOMINA
11	DIETAS Y KM.
12	TALON Nº
88	CIERRE
DE	DIFERENCIAS DE REDONDEO AL EURO
EX	EXPEDIENTES
F1	FRA.PROVEEDOR (GASTOS)
F2	FRA. PROVEEDOR (IVA)
F3	FRA. PROVEEDOR (IRPF)
F4	FRA. PROVEEDOR (DTO.)
F5	FRA. PROVEEDOR (PAGO)
F6	FRA. PROVEEDOR (TOTAL)
F7	FACTURA
F9	FRA. PROVEEDOR (IRPF AL PROVEEDOR)
FA	IVA/IGIC  NO DEDUCIBLE, NO SE INCLUIRAN
FB	LEASING, A LA CUENTA DE LEASING AL HABER
FC	LEASING, A LA CUENTA DEL PROVEEDOR AL DE
I0	IVA RECC: PDTE. DEVENGAR
I1	IVA RECC: CANCEL.DEVENGAR
I2	IVA RECC: DEVENGO
IN	INMOVILIZADO
RG	ASIENTO DE REGULARIZACION (PROC.INTER)
RI	REGULARIZACION IVA
SI	APERTURA
TL	TALON
TR	TRANFERENCIA
