ADM       	Administración
AP        	Auditoría del proyecto
ARB       	Arbitrajes
ARP       	Asesoramiento técnico al contratista para la redacción del plan de seguridad y salud en el trabajo
CCI       	Certificaciones con informe
CON       	Contratación
CSI       	Certificaciones sin informe
CSSO      	Coordinación en materia de seguridad y salud durante la ejecución de la obra
CSSP      	Coordinación en materia de seguridad y salud durante la elaboración de proyecto
DAE       	Deslinde con amojonamiento de edificaciones
DAS       	Deslinde con amojonamiento de solares
DAT       	Deslinde con amojonamiento de terrenos
DCI       	Dictámenes con informe
DEO       	Dirección de la ejecución de la obra
DO        	Dirección de obra
DPCC      	Documentación del cumplimiento del programa de control de calidad
DSE       	Deslinde sin amojonamiento de edificaciones
DSS       	Deslinde sin amojonamiento de solares
DST       	Deslinde sin amojonamiento de terrenos
EDF       	Edificación
EDI       	Edificios
EG        	Encargo global
ISC       	Informes sin certificación
LE        	Elaboración del libro del edificio
MEE       	Medición de edificaciones
MES       	Medición de solares
MET       	Medición de terrenos
PER       	Peritaciones
PP        	Planteamiento del proyecto
REB       	Redacción de estudio o estudio básico de seguridad y salud
REPE      	Replanteo de edificaciones
REPS      	Replanteo de solares
REPT      	Replanteo de terrenos
RP        	Redacción de proyecto
RPG       	Redacción de programa
SM        	Supervisión del montaje
SPA       	Seguimiento de la parcelación
SPCC      	Seguimiento del programa de control de calidad
SYT       	Solares y terrenos
URB       	Urbanización
