01 	%  	%  	00002
02 	%  	%  	00002
03 	%  	%  	00002
04 	%  	%  	00002
05 	%  	%  	00002
1% 	3% 	%  	00002
1% 	4% 	%  	00001
1% 	5% 	%  	00002
1% 	7% 	%  	00002
1% 	81 	%  	00002
1% 	82 	%  	00002
1% 	9% 	%  	00003
11 	1% 	%  	00002
11 	2% 	%  	00002
12 	1% 	%  	00002
12 	2% 	%  	00002
13 	1% 	%  	00002
13 	2% 	%  	00002
14 	11 	%  	00001
14 	12 	%  	00001
14 	13 	%  	00002
14 	2% 	%  	00001
15 	1% 	%  	00002
15 	2% 	%  	00002
16 	1% 	%  	00002
16 	2% 	%  	00002
17 	11 	%  	00001
17 	12 	%  	00001
17 	13 	%  	00002
17 	2% 	%  	00001
