COLEGIADOS	01	2007	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
CUOTA     	01	2007	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
DV        	01	2007	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
VAR       	01	2007	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
MU        	01	2007	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
RECTIF    	01	2007	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
EXPO      	01	2007	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
COLEGIADOS	01	2008	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
CLIEN     	01	2008	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
CUOTA     	01	2008	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
DV        	01	2008	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
VAR       	01	2008	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
MU        	01	2008	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
SEP       	01	2008	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
RECTIF    	01	2008	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
EXPO      	01	2008	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
COLEGIADOS	01	2009	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
CLIEN     	01	2009	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
CUOTA     	01	2009	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
DV        	01	2009	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
VAR       	01	2009	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
MU        	01	2009	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
SEP       	01	2009	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
RECTIF    	01	2009	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
EXPO      	01	2009	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
ACTEXT    	01	2009	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
COLEGIADOS	01	2010	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
CLIEN     	01	2010	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
CUOTA     	01	2010	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
DV        	01	2010	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
VAR       	01	2010	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
MU        	01	2010	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
SEP       	01	2010	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
RECTIF    	01	2010	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
ACTEXT    	01	2010	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
SEP       	01	2007	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
COLEGIADOS	01	2011	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
CLIEN     	01	2011	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
CUOTA     	01	2011	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
DV        	01	2011	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
VAR       	01	2011	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
MU        	01	2011	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
SEP       	01	2011	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
RECTIF    	01	2011	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
EXPO      	01	2011	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
ACTEXT    	01	2011	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
CLIEN     	01	2007	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
EXPO      	01	2010	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
EXPEDI    	01	2007	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
EXPEDI    	01	2008	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
EXPEDI    	01	2009	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
EXPEDI    	01	2010	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
EXPEDI    	01	2011	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
PREMAA    	01	2007	% 	Cabecera            	RECIBO 
MUSAAT    	01	2007	% 	Cabecera            	RECIBO 
ADES      	01	2007	% 	Cabecera            	RECIBO 
PREMAA    	01	2008	% 	Cabecera            	RECIBO 
MUSAAT    	01	2008	% 	Cabecera            	RECIBO 
ADES      	01	2008	% 	Cabecera            	RECIBO 
PREMAA    	01	2009	% 	Cabecera            	RECIBO 
MUSAAT    	01	2009	% 	Cabecera            	RECIBO 
ADES      	01	2009	% 	Cabecera            	RECIBO 
PREMAA    	01	2010	% 	Cabecera            	RECIBO 
MUSAAT    	01	2010	% 	Cabecera            	RECIBO 
ADES      	01	2010	% 	Cabecera            	RECIBO 
PREMAA    	01	2011	% 	Cabecera            	RECIBO 
MUSAAT    	01	2011	% 	Cabecera            	RECIBO 
ADES      	01	2011	% 	Cabecera            	RECIBO 
MT        	03	2011	% 	Cabecera            	RECIBO 
SRECTIF   	03	2011	% 	Cabecera            	RECIBO 
PROFOR    	01	2010	% 	Cabecera            	PROFORMA
PROFOR    	01	2011	% 	Cabecera            	PROFORMA
PROFOR    	03	2011	% 	Cabecera            	PROFORMA
%         	% 	%   	% 	Cabecera            	FACTURA
