SI	APERTURA
88	CIERRE
RG	ASIENTO DE REGULARIZACION (PROC.INTER)
F6	FRA. PROVEEDOR (TOTAL)
F1	FRA.PROVEEDOR (GASTOS)
F2	FRA. PROVEEDOR (IVA)
F7	FACTURA
F4	FRA. PROVEEDOR (DTO.)
F3	FRA. PROVEEDOR (IRPF)
F5	FRA. PROVEEDOR (PAGO)
F9	FRA. PROVEEDOR (IRPF AL PROVEEDOR)
TL	TALON N?
TR	TRANSF.
00	GENERAL
SS	Seguro
02	Traspasos
HS	Honorarios
FA	IVA/IGIC  NO DEDUCIBLE, NO SE INCLUIRAN
FB	LEASING, A LA CUENTA DE LEASING AL HABER
FC	LEASING, A LA CUENTA DEL PROVEEDOR AL DE
IN	INMOVILIZADO
RI	REGULARIZACION IVA
SV	Subvenci¾n
IC	Ingreso Cheques
PF	Pago S/Fra.
CF	Cobro N/Fra.
IE	Ingreso Efectivo
EX	EXPEDIENTES
RD	Rec.Dom.
FE	N/FRA.
#C	ECPN Aj.cambio crit.Ejer.N-1 dif.
#E	ECPN Aj.Err.Ejer.N-1 dif.
#G	ECPN Aj.cambio crit.Ejer.N-2 dif.
#H	ECPN Aj.Err.Ejer.N-2 dif.
#1	ECPN Aumentos/Reducciones Capital
#3	ECPN Conv.Pasivos Patr.Neto
#5	ECPN Operacs. acciones o partic.
#6	ECPN Increm./Reducc. Patr.Neto comb.neg.
#R	EIGR Regularizac.Ejer.
#T	EIGR Transf.PyG ambas secc.
I0	IVA RECC: PDTE. DEVENGAR
I1	IVA RECC: CANCEL.DEVENGAR
I2	IVA RECC: DEVENGO
F8	IVA INTRACOMUNITARIO
