EG        	Encargo global
RP        	Redacciæn de proyecto
DO        	Direcciæn de obra
DEO       	Direcciæn de la ejecuciæn de la obra
CSSP      	Coordinaciæn en materia de seguridad y salud durante la elaboraciæn de proyecto
REB       	Redacciæn de estudio o estudio bﬂsico de seguridad y salud
CSSO      	Coordinaciæn en materia de seguridad y salud durante la ejecuciæn de la obra
ARP       	Asesoramiento t⁄cnico al contratista para la redacciæn del plan de seguridad y salud en el trabajo
RPG       	Redacciæn de programa
SPCC      	Seguimiento del programa de control de calidad
DPCC      	Documentaciæn del cumplimiento del programa de control de calidad
LE        	Elaboraciæn del libro del edificio
DST       	Deslinde sin amojonamiento de terrenos
DSS       	Deslinde sin amojonamiento de solares
DSE       	Deslinde sin amojonamiento de edificaciones
DAT       	Deslinde con amojonamiento de terrenos
DAS       	Deslinde con amojonamiento de solares
DAE       	Deslinde con amojonamiento de edificaciones
REPE      	Replanteo de edificaciones
REPS      	Replanteo de solares
REPT      	Replanteo de terrenos
MET       	Mediciæn de terrenos
MES       	Mediciæn de solares
MEE       	Mediciæn de edificaciones
SPA       	Seguimiento de la parcelaciæn
ISC       	Informes sin certificaciæn
DCI       	Dictﬂmenes con informe
CSI       	Certificaciones sin informe
CCI       	Certificaciones con informe
PER       	Peritaciones
ARB       	Arbitrajes
CON       	Contrataciæn
ADM       	Administraciæn
SYT       	Solares y terrenos
EDI       	Edificios
EDF       	Edificaciæn
URB       	Urbanizaciæn
SM        	Supervisiæn del montaje
AP        	Auditor›a del proyecto
PP        	Planteamiento del proyecto
